(1, 1, null, null, ../../assets/recipe-icons/maple-lumber.png, Maple Lumber, 1, Maple Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(485, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-choker-of-healing.png, Exarchic Choker of Healing, 1, Silver Beech Lumber, 1, Thylacoleo Leather, 1, Grade 4 Mind Alkahest, 1, Dwarven Mythril Nugget, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(486, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-bracelet-of-fending.png, Exarchic Bracelet of Fending, 1, Silver Beech Lumber, 1, Solstice Ingot, 1, Grade 4 Vitality Alkahest, 1, Sea Swallow Leather, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(487, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-bracelet-of-slaying.png, Exarchic Bracelet of Slaying, 1, Silver Beech Lumber, 1, Solstice Ingot, 1, Grade 4 Strength Alkahest, 1, Sea Swallow Leather, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(488, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-bracelet-of-aiming.png, Exarchic Bracelet of Aiming, 1, Silver Beech Lumber, 1, Solstice Ingot, 1, Grade 4 Dexterity Alkahest, 1, Sea Swallow Leather, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(489, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-bracelet-of-casting.png, Exarchic Bracelet of Casting, 1, Silver Beech Lumber, 1, Solstice Ingot, 1, Grade 4 Intelligence Alkahest, 1, Sea Swallow Leather, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(490, 80, 510, Master Carpenter VIII, ../../assets/recipe-icons/exarchic-bracelet-of-healing.png, Exarchic Bracelet of Healing, 1, Silver Beech Lumber, 1, Solstice Ingot, 1, Grade 4 Mind Alkahest, 1, Sea Swallow Leather, 1, Levinstrike Aethersand, 1, null, null, Wind Cluster, 3, Ice Cluster, 3),
(491, 80, null, Master Carpenter VIII, ../../assets/recipe-icons/resplendent-carpenter's-component-a.png, Resplendent Carpenter's Component A, 1, Resplendent Carpenter's Material A, 1, null, null, null, null, null, null, null, null, null, null, Wind Cluster, 4, Ice Cluster, 2),
(492, 80, null, Master Carpenter VIII, ../../assets/recipe-icons/resplendent-carpenter's-component-b.png, Resplendent Carpenter's Component B, 1, Resplendent Carpenter's Material B, 2, null, null, null, null, null, null, null, null, null, null, Wind Cluster, 4, Ice Cluster, 2),
(493, 80, null, Master Carpenter VIII, ../../assets/recipe-icons/resplendent-carpenter's-component-c.png, Resplendent Carpenter's Component C, 1, Resplendent Carpenter's Material C, 2, null, null, null, null, null, null, null, null, null, null, Wind Cluster, 4, Ice Cluster, 2),
(494, 15, null, Master Carpenter: Glamours, ../../assets/recipe-icons/glamour-prism.png, Glamour Prism, 1, Clear Prism, 1, Walnut Lumber, 2, null, null, null, null, null, null, null, null, Wind Crystal, 1, Ice Crystal, 1),
(495, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/beak-of-the-vortex.png, Beak of the Vortex, 1, Demimateria of the Vortex, 3, Battlecraft Demimateria III, 10, Vortex Feather, 1, Ancient Lumber, 3, Cobalt Ingot, 1, null, null, Wind Crystal, 12, null, null),
(496, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/inferno-bow.png, Inferno Bow, 1, Demimateria of the Inferno, 3, Battlecraft Demimateria III, 10, Inferno Horn, 1, Ancient Lumber, 3, Raptor Sinew, 1, null, null, Fire Crystal, 12, null, null),
(497, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/spine-of-the-vortex.png, Spine of the Vortex, 1, Demimateria of the Vortex, 3, Battlecraft Demimateria III, 10, Vortex Feather, 1, Ancient Lumber, 3, Electrum Ingot, 1, null, null, Wind Crystal, 12, null, null),
(498, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/mischievous-moggle-mogbow.png, Mischievous Moggle Mogbow, 1, Demimog Demimateria, 3, Battlecraft Demimateria III, 10, Kingly Whisker, 1, Ancient Lumber, 3, Electrum Ingot, 1, null, null, Wind Cluster, 2, Ice Cluster, 1),
(499, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/maleficent-moggle-mogstaff.png, Maleficent Moggle Mogstaff, 1, Demimog Demimateria, 3, Battlecraft Demimateria III, 10, Kingly Whisker, 1, Ancient Lumber, 3, Undyed Felt, 1, null, null, Wind Cluster, 2, Ice Cluster, 1),
(500, 50 , 95, Master Carpenter: Demimateria, ../../assets/recipe-icons/inferno-cane.png, Inferno Cane, 1, Demimateria of the Inferno, 3, Battlecraft Demimateria III, 10, Inferno Horn, 1, Ancient Lumber, 3, Growth Formula Delta, 1, null, null, Fire Crystal, 12, null, null),
(501, 12, null, null, ../../assets/recipe-icons/firewood.png, Firewood, 1, Ash Log, 9, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(502, 13, null, null, ../../assets/recipe-icons/glade-classical-window.png, Glade Classical Window, 1, Ash Lumber, 6, Clear Glass Lens, 4, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(503, 13, null, null, ../../assets/recipe-icons/stump-stool.png, Stump Stool, 1, Ash Log, 1, Beeswax, 5, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(504, 14, null, null, ../../assets/recipe-icons/riviera-arched-window.png, Riviera Arched Window, 1, Ash Lumber, 4, Clear Glass Lens, 4, Iron Ingot, 2, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(505, 14, null, null, ../../assets/recipe-icons/crofter's-wain.png, Crofter's Wain, 1, Ash Lumber, 4, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(506, 16, null, null, ../../assets/recipe-icons/glade-lancet-window.png, Glade Lancet Window, 1, Elm Lumber, 4, Clear Glass Lens, 4, Ash Lumber, 2, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(507, 16, null, null, ../../assets/recipe-icons/oasis-oblong-window.png, Oasis Oblong Window, 1, Elm Lumber, 3, Clear Glass Lens, 4, Iron Ingot, 3, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(508, 16, null, null, ../../assets/recipe-icons/oasis-wooden-awning.png, Oasis Wooden Awning, 1, Ash Lumber, 4, Iron Ingot, 2, Iron Rivets, 2, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(509, 17, null, null, ../../assets/recipe-icons/riviera-bay-window.png, Riviera Bay Window, 1, Elm Lumber, 6, Clear Glass Lens, 4, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(510, 18, null, null, ../../assets/recipe-icons/glade-cottage-wall-(wood).png, Glade Cottage Wall (Wood), 1, Elm Lumber, 15, Ash Lumber, 5, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(511, 19, null, null, ../../assets/recipe-icons/glade-pendant-lamp.png, Glade Pendant Lamp, 1, Elm Lumber, 4, Beeswax Candle, 8, null, null, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(512, 19, null, null, ../../assets/recipe-icons/riviera-cottage-roof-(composite).png, Riviera Cottage Roof (Composite), 1, Elm Lumber, 10, Ash Lumber, 10, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 4, Ice Shard, 4),
(513, 20, null, null, ../../assets/recipe-icons/laundry-pole.png, Laundry Pole, 1, Elm Lumber, 2, Rope Belt, 1, Undyed Cotton Cloth, 1, null, null, null, null, null, null, Wind Shard, 1, Ice Shard, 1),
(514, 21, null, null, ../../assets/recipe-icons/glade-rounded-window.png, Glade Rounded Window, 1, Yew Lumber, 6, Clear Glass Lens, 4, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 1),
(515, 21, null, null, ../../assets/recipe-icons/riviera-cottage-wall-(wood).png, Riviera Cottage Wall (Wood), 1, Yew Lumber, 10, Limestone, 15, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 8, Ice Shard, 4),
(516, 22, null, null, ../../assets/recipe-icons/oasis-cottage-roof-(wood).png, Oasis Cottage Roof (Wood), 1, Elm Lumber, 15, Brass Ingot, 5, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 8, Ice Shard, 4),
(517, 22, null, null, ../../assets/recipe-icons/oasis-cottage-wall-(wood).png, Oasis Cottage Wall (Wood), 1, Elm Lumber, 10, Limestone, 30, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 8, Ice Shard, 4),
(518, 23, null, null, ../../assets/recipe-icons/glade-cottage-wall-(composite).png, Glade Cottage Wall (Composite), 1, Yew Lumber, 10, Limestone, 15, Mortar, 15, null, null, null, null, null, null, Wind Shard, 8, Ice Shard, 4),
(519, 24, null, null, ../../assets/recipe-icons/riviera-cottage-roof-(stone).png, Riviera Cottage Roof (Stone), 1, Elm Lumber, 15, Roof Tile, 5, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 8, Ice Shard, 8),
(520, 25, null, null, ../../assets/recipe-icons/walnut-interior-wall.png, Walnut Interior Wall, 1, Walnut Lumber, 6, Beeswax, 6, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(521, 26, null, null, ../../assets/recipe-icons/glade-lancet-door.png, Glade Lancet Door, 1, Walnut Lumber, 6, Steel Hinge, 4, Steel Ingot, 2, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(522, 26, null, null, ../../assets/recipe-icons/glade-thatch-chimney.png, Glade Thatch Chimney, 1, Walnut Lumber, 2, Bloodgrass, 2, Roof Tile, 2, Brass Ingot, 2, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(523, 26, null, null, ../../assets/recipe-icons/riviera-flooring.png, Riviera Flooring, 1, Walnut Lumber, 6, Beeswax, 6, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(524, 26, null, null, ../../assets/recipe-icons/glade-flooring.png, Glade Flooring, 1, Walnut Lumber, 6, Beeswax, 6, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(525, 26, null, null, ../../assets/recipe-icons/oasis-flooring.png, Oasis Flooring, 1, Walnut Lumber, 6, Beeswax, 6, null, null, null, null, null, null, null, null, Wind Shard, 2, Ice Shard, 2),
(526, 27, null, null, ../../assets/recipe-icons/oasis-crowned-door.png, Oasis Crowned Door, 1, Walnut Lumber, 4, Steel Hinge, 4, Steel Ingot, 4, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(527, 28, null, null, ../../assets/recipe-icons/riviera-wooden-awning.png, Riviera Wooden Awning, 1, Walnut Lumber, 4, Steel Ingot, 2, Steel Rivets, 2, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(528, 28, null, null, ../../assets/recipe-icons/walnut-table.png, Walnut Table, 1, Walnut Lumber, 2, Steel Plate, 2, Steel Rivets, 2, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 2),
(529, 30, null, null, ../../assets/recipe-icons/arbor-interior-wall.png, Arbor Interior Wall, 1, Walnut Lumber, 2, Mortar, 4, Matron's Mistletoe, 1, Growth Formula Gamma, 1, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(530, 30, null, null, ../../assets/recipe-icons/stepladder.png, Stepladder, 1, Walnut Lumber, 5, Steel Ingot, 1, Steel Rivets, 2, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(531, 30, null, null, ../../assets/recipe-icons/standing-signboard.png, Standing Signboard, 1, Walnut Lumber, 2, Steel Hinge, 1, Adventurers' Guild Aduyses, 1, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(532, 31, null, null, ../../assets/recipe-icons/riviera-interior-wall.png, Riviera Interior Wall, 1, Walnut Lumber, 8, Beeswax, 4, null, null, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(533, 31, null, null, ../../assets/recipe-icons/glade-interior-wall.png, Glade Interior Wall, 1, Walnut Lumber, 8, Beeswax, 4, null, null, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(534, 31, null, null, ../../assets/recipe-icons/retainer-cartonnier.png, Retainer Cartonnier, 1, Walnut Lumber, 3, Steel Ingot, 3, Beeswax, 2, Ink & Quill, 1, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(535, 32, null, null, ../../assets/recipe-icons/riviera-wooden-door.png, Riviera Wooden Door, 1, Oak Lumber, 4, Steel Hinge, 4, Steel Ingot, 4, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(536, 32, null, null, ../../assets/recipe-icons/glade-arched-door.png, Glade Arched Door, 1, Oak Lumber, 4, Steel Hinge, 4, Silver Ingot, 4, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(537, 32, null, null, ../../assets/recipe-icons/deluxe-glade-pendant-lamp.png, Deluxe Glade Pendant Lamp, 1, Walnut Lumber, 8, Tallow Candle, 4, null, null, null, null, null, null, null, null, Wind Shard, 3, Ice Shard, 3),
(538, 33, null, null, ../../assets/recipe-icons/oasis-wooden-wall.png, Oasis Wooden Wall, 1, Oak Lumber, 10, Cut Stone, 5, Steel Ingot, 5, Mortar, 20, null, null, null, null, Wind Shard, 16, Ice Shard, 12),
(539, 34, null, null, ../../assets/recipe-icons/glade-lamppost.png, Glade Lamppost, 1, Oak Lumber, 2, Tallow Candle, 2, Clear Glass Lens, 2, Steel Ingot, 2, null, null, null, null, Wind Shard, 4, Ice Shard, 3),
(540, 35, null, null, ../../assets/recipe-icons/dried-well.png, Dried Well, 1, Oak Lumber, 2, Granite, 3, Growth Formula Gamma, 2, Iron Ingot, 2, Rope Belt, 1, null, null, Wind Shard, 4, Ice Shard, 3),
(541, 35, null, null, ../../assets/recipe-icons/riviera-house-roof-(composite).png, Riviera House Roof (Composite), 1, Walnut Lumber, 10, Yew Lumber, 10, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Wind Shard, 16, Ice Shard, 12),
(542, 35, null, null, ../../assets/recipe-icons/glade-house-wall-(wood).png, Glade House Wall (Wood), 1, Walnut Lumber, 15, Oak Lumber, 5, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Wind Shard, 16, Ice Shard, 12),
(543, 38, null, null, ../../assets/recipe-icons/riviera-house-wall-(wood).png, Riviera House Wall (Wood), 1, Oak Lumber, 10, Granite, 15, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Wind Shard, 16, Ice Shard, 16),
(544, 39, null, null, ../../assets/recipe-icons/oasis-house-roof-(wood).png, Oasis House Roof (Wood), 1, Oak Lumber, 15, Silver Ingot, 5, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Wind Shard, 20, Ice Shard, 16),
(545, 39, null, null, ../../assets/recipe-icons/oasis-house-wall-(wood).png, Oasis House Wall (Wood), 1, Oak Lumber, 10, Cut Stone, 10, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Wind Shard, 20, Ice Shard, 16),
(546, 40, null, null, ../../assets/recipe-icons/glade-house-wall-(composite).png, Glade House Wall (Composite), 1, Walnut Lumber, 10, Cut Stone, 5, Mortar, 30, null, null, null, null, null, null, Wind Shard, 20, Ice Shard, 16),
(547, 41, null, null, ../../assets/recipe-icons/riviera-house-roof-(stone).png, Riviera House Roof (Stone), 1, Walnut Lumber, 15, Roof Tile, 10, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Wind Shard, 20, Ice Shard, 16),
(548, 45, null, null, ../../assets/recipe-icons/black-and-white-interior-wall.png, Black-and-white Interior Wall, 1, Rosewood Log, 2, Mahogany Log, 2, Oak Log, 2, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(549, 45, null, null, ../../assets/recipe-icons/lattice-planter.png, Lattice Planter, 1, Rosewood Lumber, 5, Cobalt Ingot, 3, Humus, 3, Island Seedling, 3, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(550, 46, null, null, ../../assets/recipe-icons/riviera-garden-table-set.png, Riviera Garden Table Set, 1, Rosewood Lumber, 4, Yew Lumber, 2, Iron Ingot, 2, Faerie Apple, 1, La Noscean Orange, 1, null, null, Wind Shard, 6, Ice Shard, 5),
(551, 47, null, null, ../../assets/recipe-icons/glade-chandelier.png, Glade Chandelier, 1, Mahogany Lumber, 4, Oak Lumber, 4, Tallow Candle, 8, null, null, null, null, null, null, Wind Shard, 6, Ice Shard, 5),
(552, 50, null, null, ../../assets/recipe-icons/glade-roundpole-fence.png, Glade Roundpole Fence, 1, Rosewood Lumber, 20, Granite, 30, Cobalt Ingot, 10, null, null, null, null, null, null, Wind Shard, 24, Ice Shard, 24),
(553, 50 , null, null, ../../assets/recipe-icons/riviera-mansion-roof-(composite).png, Riviera Mansion Roof (Composite), 1, Rosewood Lumber, 10, Oak Lumber, 10, Cobalt Joint Plate, 10, Cobalt Nails, 10, Varnish, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(554, 50 , null, null, ../../assets/recipe-icons/riviera-mansion-roof-(stone).png, Riviera Mansion Roof (Stone), 1, Mahogany Lumber, 15, Roof Tile, 15, Cobalt Joint Plate, 10, Cobalt Nails, 10, Felt Lining, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(555, 50 , null, null, ../../assets/recipe-icons/oasis-mansion-roof-(wood).png, Oasis Mansion Roof (Wood), 1, Rosewood Lumber, 15, Electrum Ingot, 5, Cobalt Joint Plate, 10, Cobalt Nails, 10, Varnish, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(556, 50 , null, null, ../../assets/recipe-icons/riviera-mansion-wall-(wood).png, Riviera Mansion Wall (Wood), 1, Spruce Lumber, 10, Cut Stone, 5, Cobalt Joint Plate, 10, Cobalt Nails, 10, Varnish, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(557, 50 , null, null, ../../assets/recipe-icons/glade-mansion-wall-(wood).png, Glade Mansion Wall (Wood), 1, Mahogany Lumber, 15, Spruce Lumber, 5, Cobalt Joint Plate, 10, Cobalt Nails, 10, Felt Lining, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(558, 50 , null, null, ../../assets/recipe-icons/glade-mansion-wall-(composite).png, Glade Mansion Wall (Composite), 1, Rosewood Lumber, 10, Cut Stone, 10, Granite, 15, Mortar, 45, null, null, null, null, Wind Crystal, 12, Ice Crystal, 8),
(559, 50 , null, null, ../../assets/recipe-icons/oasis-mansion-wall-(wood).png, Oasis Mansion Wall (Wood), 1, Rosewood Lumber, 10, Cut Stone, 10, Cobalt Joint Plate, 10, Cobalt Nails, 10, Felt Lining, 10, null, null, Wind Crystal, 12, Ice Crystal, 8),
(560, 50 , null, null, ../../assets/recipe-icons/straight-stepping-stumps.png, Straight Stepping Stumps, 1, Petrified Log, 2, Varnish, 10, null, null, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(561, 50 , null, null, ../../assets/recipe-icons/cob-inner-wall.png, Cob Inner Wall, 1, Bamboo Stick, 3, Straw, 3, Potter's Clay, 5, Fine Sand, 5, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(562, 50 , null, null, ../../assets/recipe-icons/manor-flooring.png, Manor Flooring, 1, Manor Varnish, 2, Spruce Lumber, 4, Undyed Woolen Cloth, 4, Woolen Yarn, 3, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(563, 50 , null, null, ../../assets/recipe-icons/curved-stepping-stumps.png, Curved Stepping Stumps, 1, Petrified Log, 3, Varnish, 10, null, null, null, null, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(564, 50 , null, null, ../../assets/recipe-icons/glade-path-light.png, Glade Path Light, 1, Ancient Lumber, 3, Tallow Candle, 4, Darksteel Ingot, 3, Darksteel Rivets, 3, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(565, 50 , null, null, ../../assets/recipe-icons/carbuncle-garden-table.png, Carbuncle Garden Table, 1, Ruby, 1, Spruce Lumber, 5, Mahogany Lumber, 5, Darksteel Nugget, 4, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(566, 50 , null, null, ../../assets/recipe-icons/alps-striking-dummy.png, Alps Striking Dummy, 1, Ancient Lumber, 3, Wolfram Ingot, 2, Glazenut, 2, Fieldcraft Demimateria III, 3, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(567, 50 , null, null, ../../assets/recipe-icons/oriental-striking-dummy.png, Oriental Striking Dummy, 1, Ancient Lumber, 2, Wolfram Ingot, 2, Petrified Log, 1, Glazenut, 2, Fieldcraft Demimateria III, 3, null, null, Wind Cluster, 2, Ice Cluster, 1),
(568, 61, null, null, ../../assets/recipe-icons/hingan-oblong-window.png, Hingan Oblong Window, 1, Beech Lumber, 6, Clear Glass Lens, 5, null, null, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(569, 61, null, null, ../../assets/recipe-icons/hingan-door-(mokuzo).png, Hingan Door (Mokuzo), 1, Beech Lumber, 4, Mythrite Nugget, 4, Cut Stone, 3, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(570, 61, null, null, ../../assets/recipe-icons/hingan-watchtower-(mokuzo).png, Hingan Watchtower (Mokuzo), 1, Beech Lumber, 4, Hardsilver Nugget, 2, Mythrite Ingot, 2, null, null, null, null, null, null, Wind Crystal, 3, Ice Crystal, 2),
(571, 61, null, null, ../../assets/recipe-icons/hingan-cottage-wall-(mokuzo).png, Hingan Cottage Wall (Mokuzo), 1, Beech Lumber, 10, Cedar Lumber, 5, Cut Stone, 5, Granite, 10, Clear Glass Lens, 5, null, null, Wind Crystal, 12, Ice Crystal, 8),
(572, 61, null, null, ../../assets/recipe-icons/hingan-cottage-wall-(nanpu).png, Hingan Cottage Wall (Nanpu), 1, Beech Lumber, 10, Mythrite Nugget, 5, Felt Lining, 5, Granite, 10, Varnish, 5, null, null, Wind Crystal, 12, Ice Crystal, 8),
(573, 62, null, null, ../../assets/recipe-icons/dodo-message-book-stand.png, Dodo Message Book Stand, 1, Larch Lumber, 2, Beech Lumber, 1, Potash, 1, Crystal Glass, 1, Wildfowl Feather, 1, Dodo Feather, 1, Wind Crystal, 3, Ice Crystal, 3),
(574, 63, null, null, ../../assets/recipe-icons/hingan-door-(nanpu).png, Hingan Door (Nanpu), 1, Pine Lumber, 4, Aurum Regis Nugget, 4, Cut Stone, 3, null, null, null, null, null, null, Wind Crystal, 4, Ice Crystal, 3),
(575, 63, null, null, ../../assets/recipe-icons/hingan-placard-(mokuzo).png, Hingan Placard (Mokuzo), 1, Pine Lumber, 4, Mythrite Ingot, 3, Clear Glass Lens, 4, null, null, null, null, null, null, Wind Crystal, 4, Ice Crystal, 3),
(576, 63, null, null, ../../assets/recipe-icons/hingan-hanging-andon-lamp.png, Hingan Hanging Andon Lamp, 1, Pine Lumber, 5, Tallow Candle, 8, null, null, null, null, null, null, null, null, Wind Crystal, 4, Ice Crystal, 3),
(577, 66, null, null, ../../assets/recipe-icons/hingan-lancet-window.png, Hingan Lancet Window, 1, Persimmon Lumber, 3, Cut Stone, 3, Clear Glass Lens, 3, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 4),
(578, 66, null, null, ../../assets/recipe-icons/hingan-door-(kura-zukuri).png, Hingan Door (Kura-zukuri), 1, Persimmon Lumber, 4, Hardsilver Nugget, 4, Clear Glass Lens, 5, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 4),
(579, 66, null, null, ../../assets/recipe-icons/hingan-house-wall-(mokuzo).png, Hingan House Wall (Mokuzo), 1, Persimmon Lumber, 10, Dark Chestnut Lumber, 10, Cut Stone, 10, Granite, 15, Clear Glass Lens, 10, null, null, Wind Crystal, 20, Ice Crystal, 16),
(580, 66, null, null, ../../assets/recipe-icons/hingan-house-wall-(nanpu).png, Hingan House Wall (Nanpu), 1, Persimmon Lumber, 10, Hardsilver Nugget, 10, Felt Lining, 10, Granite, 15, Varnish, 10, null, null, Wind Crystal, 20, Ice Crystal, 16),
(581, 66, null, null, ../../assets/recipe-icons/hingan-fence-(nanpu).png, Hingan Fence (Nanpu), 1, Persimmon Lumber, 20, Hardsilver Nugget, 10, Varnish, 5, Mudstone, 15, null, null, null, null, Wind Crystal, 20, Ice Crystal, 16),
(582, 68, null, null, ../../assets/recipe-icons/hingan-placard-(nanpu).png, Hingan Placard (Nanpu), 1, Zelkova Lumber, 4, Rose Gold Nugget, 4, Varnish, 2, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 5),
(583, 68, null, null, ../../assets/recipe-icons/hingan-flooring.png, Hingan Flooring, 1, Zelkova Lumber, 5, Cut Stone, 4, Granite, 3, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 5),
(584, 68, null, null, ../../assets/recipe-icons/hingan-hanging-toro-lamp.png, Hingan Hanging Toro Lamp, 1, Zelkova Lumber, 6, Persimmon Lumber, 4, Tallow Candle, 12, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 5),
(585, 68, null, null, ../../assets/recipe-icons/hingan-mansion-wall-(mokuzo).png, Hingan Mansion Wall (Mokuzo), 1, Zelkova Lumber, 10, Birch Lumber, 15, Cut Stone, 15, Granite, 20, Clear Glass Lens, 15, null, null, Wind Crystal, 20, Ice Crystal, 20),
(586, 68, null, null, ../../assets/recipe-icons/hingan-mansion-wall-(nanpu).png, Hingan Mansion Wall (Nanpu), 1, Zelkova Lumber, 10, Aurum Regis Nugget, 15, Felt Lining, 15, Granite, 20, Varnish, 15, null, null, Wind Crystal, 20, Ice Crystal, 20),
(587, 70, null, null, ../../assets/recipe-icons/eastern-teahouse-bench.png, Eastern Teahouse Bench, 1, Zelkova Lumber, 3, Palladium Nugget, 2, Chimerical Felt, 4, null, null, null, null, null, null, Wind Crystal, 6, Ice Crystal, 5),
(588, 78, null, null, ../../assets/recipe-icons/wooden-deck.png, Wooden Deck, 1, Lignum Vitae Lumber, 10, White Oak Lumber, 4, Titanbronze Ingot, 2, Royal Dowager Tea Set, 1, null, null, null, null, Wind Crystal, 28, Ice Crystal, 28),
(589, 80, null, null, ../../assets/recipe-icons/varied-wood-interior-wall.png, Varied Wood Interior Wall, 1, Lignum Vitae Lumber, 7, White Ash Lumber, 7, Cut Stone, 4, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(590, 80, null, null, ../../assets/recipe-icons/herringbone-flooring.png, Herringbone Flooring, 1, Lignum Vitae Lumber, 7, White Ash Lumber, 7, Cut Stone, 4, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(591, 80, null, null, ../../assets/recipe-icons/wooden-chandelier.png, Wooden Chandelier, 1, Lignum Vitae Lumber, 6, Titanbronze Ingot, 4, Tallow Candle, 4, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(592, 80, null, null, ../../assets/recipe-icons/oriental-wooden-deck.png, Oriental Wooden Deck, 1, Lignum Vitae Lumber, 10, Granite, 4, Oroshigane Ingot, 4, Varnish, 4, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(593, 80, null, null, ../../assets/recipe-icons/la-noscean-grape-pergola.png, La Noscean Grape Pergola, 1, Lowland Grape Seeds, 3, Lignum Vitae Lumber, 5, Starch Glue, 5, Growth Formula Kappa, 3, null, null, null, null, Wind Crystal, 28, Ice Crystal, 28),
