(1, 1, null, null, ../../assets/recipe-icons/blacksmith/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(607, 60 , 170, Master Blacksmith III, ../../assets/recipe-icons/blacksmith/sharpened-adamantite-awl.png, Sharpened Adamantite Awl, 1, Adamantite Ingot, 2, Astral Birch Lumber, 1, Chimerical Felt, 1, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, Fire Cluster, 2, Earth Cluster, 2),
(608, 60 , 170, Master Blacksmith III, ../../assets/recipe-icons/blacksmith/heavy-adamantite-mortar.png, Heavy Adamantite Mortar, 1, Adamantite Ingot, 2, Astral Birch Lumber, 1, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, null, null, Fire Cluster, 2, Earth Cluster, 2),
(609, 60 , 170, Master Blacksmith III, ../../assets/recipe-icons/blacksmith/wrapped-adamantite-culinary-knife.png, Wrapped Adamantite Culinary Knife, 1, Adamantite Ingot, 2, Astral Birch Lumber, 1, Sun Mica, 1, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, Fire Cluster, 2, Earth Cluster, 2),
(610, 60 , 170, Master Blacksmith III, ../../assets/recipe-icons/blacksmith/weighted-adamantite-sledgehammer.png, Weighted Adamantite Sledgehammer, 1, Adamantite Ingot, 2, Astral Birch Lumber, 1, Scale Glue, 1, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, Fire Cluster, 2, Earth Cluster, 2),
(611, 60 , 170, Master Blacksmith III, ../../assets/recipe-icons/blacksmith/balanced-adamantite-scythe.png, Balanced Adamantite Scythe, 1, Adamantite Ingot, 2, Astral Birch Lumber, 1, Sun Mica, 1, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, Fire Cluster, 2, Earth Cluster, 2),
(612, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-nugget.png, High Mythrite Nugget, 1, Lumythrite Sand, 3, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 7, Earth Crystal, 7),
(613, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/galvanized-garlond-steel.png, Galvanized Garlond Steel, 1, Vivianite, 3, Sphalerite, 2, Cobalt Ore, 2, Coke, 9, null, null, null, null, Fire Cluster, 2, Earth Cluster, 2),
(614, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-sword.png, Endless Expanse Sword, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 3, null, null, Wind Cluster, 2, Water Cluster, 2),
(615, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-shamshir.png, Dead Hive Shamshir, 1, High Mythrite Ingot, 2, Eikon Leather, 1, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 3, null, null, Fire Cluster, 2, Earth Cluster, 2),
(616, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-battleaxe.png, Endless Expanse Battleaxe, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(617, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-battleaxe.png, Dead Hive Battleaxe, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(618, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-greatsword.png, Endless Expanse Greatsword, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(619, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-claymore.png, Dead Hive Claymore, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(620, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-patas.png, Endless Expanse Patas, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 2, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(621, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-claws.png, Dead Hive Claws, 1, High Mythrite Ingot, 2, Eikon Leather, 1, Eikon Iron Ingot, 2, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(622, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-katana.png, Endless Expanse Katana, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, Cloud Mica Whetstone, 1, Wind Cluster, 2, Water Cluster, 2),
(623, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-katana.png, Dead Hive Katana, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, Cloud Mica Whetstone, 1, Fire Cluster, 2, Earth Cluster, 2),
(624, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-machetes.png, Endless Expanse Machetes, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 2, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(625, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-kris.png, Dead Hive Kris, 1, High Mythrite Ingot, 2, Eikon Leather, 1, Eikon Iron Ingot, 2, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(626, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/endless-expanse-handgonne.png, Endless Expanse Handgonne, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 1, Black Firesand, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, Wind Cluster, 2, Water Cluster, 2),
(627, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/dead-hive-musketoon.png, Dead Hive Musketoon, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Black Firesand, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, Fire Cluster, 2, Earth Cluster, 2),
(628, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/great-gubal-floor-lamp.png, Great Gubal Floor Lamp, 1, Adamantite Ingot, 2, Aurum Regis Ingot, 1, Frosted Glass Lens, 2, Tallow Candle, 2, null, null, null, null, Fire Cluster, 2, Earth Cluster, 2),
(629, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/pudding-floor-lamp.png, Pudding Floor Lamp, 1, Tincalconite, 3, Pudding Flesh, 9, Adamantite Nugget, 3, Tallow Candle, 3, null, null, null, null, Fire Cluster, 2, Earth Cluster, 2),
(630, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/mammet-lantern.png, Mammet Lantern, 1, Adamantite Ingot, 1, Mythrite Ingot, 1, Astral Birch Lumber, 1, Astral Silk, 1, Whitefrost Cotton Boll, 4, Tallow Candle, 1, Fire Cluster, 2, Earth Cluster, 2),
(631, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-ingot.png, High Mythrite Ingot, 1, Eikon Mythrite, 2, Lumythrite Ore, 3, Mythrite Ore, 2, null, null, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(632, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/sword-of-the-round.png, Sword of the Round, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Platinum Ingot, 2, Luminous Fiber, 2, Battlecraft Demimateria III, 3, null, null, Fire Cluster, 3, Earth Cluster, 2),
(633, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/blade-of-the-fiend.png, Blade of the Fiend, 1, High Mythrite Ingot, 2, Eikon Leather, 1, Eikon Iron Ingot, 1, Fiend Sap, 1, Battlecraft Demimateria III, 3, null, null, Fire Cluster, 3, Earth Cluster, 2),
(634, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-blade.png, Seeing Horde Blade, 1, High Mythrite Ingot, 2, Eikon Leather, 1, Nidhogg's Scale, 1, Demicrystal, 3, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(635, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/blade-of-the-goddess.png, Blade of the Goddess, 1, High Mythrite Ingot, 2, Eikon Iron Ingot, 1, Sophic Bead Fragment, 1, Demicrystal, 3, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(636, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/blade-of-the-demon.png, Blade of the Demon, 1, High Mythrite Ingot, 2, Eikon Iron Ingot, 1, Zurvanite Carapace Fragment, 1, Demicrystal, 3, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(637, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-blade.png, Replica Allagan Blade, 1, Allagan Aetherstone - Weaponry, 1, Wootz Ingot, 3, Platinum Ingot, 1, Allagan Catalyst, 1, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(638, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-blade.png, Replica High Allagan Blade, 1, High Allagan Aetherstone - Weaponry, 1, Wootz Ingot, 3, Platinum Ingot, 1, Allagan Catalyst, 1, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(639, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/axe-of-the-round.png, Axe of the Round, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Platinum Ingot, 3, Luminous Fiber, 3, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(640, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/axe-of-the-fiend.png, Axe of the Fiend, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Fiend Sap, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(641, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-axe.png, Seeing Horde Axe, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Nidhogg's Scale, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(642, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/axe-of-the-goddess.png, Axe of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(643, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/axe-of-the-demon.png, Axe of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(644, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-battleaxe.png, Replica Allagan Battleaxe, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Ebony Lumber, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(645, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-battleaxe.png, Replica High Allagan Battleaxe, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Ebony Lumber, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(646, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/claymore-of-the-round.png, Claymore of the Round, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Platinum Ingot, 3, Luminous Fiber, 3, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(647, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/edge-of-the-fiend.png, Edge of the Fiend, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Fiend Sap, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(648, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-guillotine.png, Seeing Horde Guillotine, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Eikon Iron Ingot, 1, Nidhogg's Scale, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(649, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/edge-of-the-goddess.png, Edge of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(650, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/edge-of-the-demon.png, Edge of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(651, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-guillotine.png, Replica Allagan Guillotine, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Ebony Lumber, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(652, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-guillotine.png, Replica High Allagan Guillotine, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Ebony Lumber, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(653, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-spear.png, Replica Allagan Spear, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 2, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(654, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-spear.png, Replica High Allagan Spear, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 2, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(655, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/knuckles-of-the-round.png, Knuckles of the Round, 1, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Platinum Ingot, 3, Luminous Fiber, 3, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(656, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fists-of-the-fiend.png, Fists of the Fiend, 1, High Mythrite Ingot, 3, Eikon Cloth, 1, Eikon Iron Ingot, 1, Fiend Sap, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(657, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-knuckles.png, Seeing Horde Knuckles, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Nidhogg's Scale, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(658, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fists-of-the-goddess.png, Fists of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(659, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fists-of-the-demon.png, Fists of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(660, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-baghnakhs.png, Replica Allagan Baghnakhs, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Kirimu Leather, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(661, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-baghnakhs.png, Replica High Allagan Baghnakhs, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Kirimu Leather, 1, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(662, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/katana-of-the-round.png, Katana of the Round, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Platinum Ingot, 3, Luminous Fiber, 3, Battlecraft Demimateria III, 5, Cloud Mica Whetstone, 1, Fire Cluster, 3, Earth Cluster, 2),
(663, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/katana-of-the-fiend.png, Katana of the Fiend, 1, High Mythrite Ingot, 2, Eikon Cloth, 1, Eikon Iron Ingot, 2, Fiend Sap, 1, Battlecraft Demimateria III, 5, Cloud Mica Whetstone, 1, Fire Cluster, 3, Earth Cluster, 2),
(664, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-katana.png, Seeing Horde Katana, 1, High Mythrite Ingot, 2, Eikon Cloth, 1, Eikon Iron Ingot, 2, Cloud Mica Whetstone, 1, Nidhogg's Scale, 1, Demicrystal, 5, Fire Cluster, 3, Earth Cluster, 2),
(665, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/katana-of-the-goddess.png, Katana of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Cloud Mica Whetstone, 1, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(666, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/katana-of-the-demon.png, Katana of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Cloud Mica Whetstone, 1, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(667, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/daggers-of-the-round.png, Daggers of the Round, 1, High Mythrite Ingot, 2, Eikon Leather, 2, Platinum Ingot, 3, Luminous Fiber, 3, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(668, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/points-of-the-fiend.png, Points of the Fiend, 1, High Mythrite Ingot, 2, Eikon Cloth, 1, Eikon Iron Ingot, 2, Fiend Sap, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(669, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/seeing-horde-daggers.png, Seeing Horde Daggers, 1, High Mythrite Ingot, 2, Eikon Cloth, 1, Eikon Iron Ingot, 2, Nidhogg's Scale, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(670, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/points-of-the-goddess.png, Points of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(671, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/points-of-the-demon.png, Points of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(672, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-daggers.png, Replica Allagan Daggers, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 1, Platinum Ingot, 2, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(673, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-cleavers.png, Replica High Allagan Cleavers, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 1, Platinum Ingot, 2, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(674, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-composite-bow.png, Replica Allagan Composite Bow, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 2, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(675, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-composite-bow.png, Replica High Allagan Composite Bow, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 3, Ebony Lumber, 2, Platinum Ingot, 1, Allagan Catalyst, 2, null, null, Fire Cluster, 3, Earth Cluster, 2),
(676, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fire-of-the-round.png, Fire of the Round, 1, High Mythrite Ingot, 3, Eikon Leather, 1, Platinum Ingot, 3, Black Firesand, 1, Luminous Fiber, 3, Battlecraft Demimateria III, 5, Fire Cluster, 3, Earth Cluster, 2),
(677, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fire-of-the-fiend.png, Fire of the Fiend, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 1, Eikon Iron Ingot, 2, Black Firesand, 1, Fiend Sap, 1, Battlecraft Demimateria III, 5, Fire Cluster, 3, Earth Cluster, 2),
(678, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fire-of-the-goddess.png, Fire of the Goddess, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Black Firesand, 1, Sophic Bead Fragment, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(679, 60 , 180, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/fire-of-the-demon.png, Fire of the Demon, 1, High Mythrite Ingot, 3, Eikon Iron Ingot, 2, Black Firesand, 1, Zurvanite Carapace Fragment, 1, Demicrystal, 5, null, null, Fire Cluster, 3, Earth Cluster, 2),
(680, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-allagan-pistol.png, Replica Allagan Pistol, 1, Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Platinum Ingot, 2, Black Firesand, 1, Wyrm Obsidian, 3, Allagan Catalyst, 2, Fire Cluster, 3, Earth Cluster, 2),
(681, 60 , 50, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/replica-high-allagan-pistol.png, Replica High Allagan Pistol, 1, High Allagan Aetherstone - Weaponry, 2, Wootz Ingot, 4, Platinum Ingot, 2, Black Firesand, 1, Wyrm Obsidian, 3, Allagan Catalyst, 2, Fire Cluster, 3, Earth Cluster, 2),
(682, 60 , null, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/cloud-mythril-ingot.png, Cloud Mythril Ingot, 1, Cloud Mythril Ore, 2, Lumythrite Sand, 1, null, null, null, null, null, null, null, null, Fire Cluster, 3, Earth Cluster, 2),
(683, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-saw.png, High Mythrite Saw, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(684, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-claw-hammer.png, High Mythrite Claw Hammer, 1, Luminous Fiber, 3, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(685, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-cross-pein-hammer.png, High Mythrite Cross-pein Hammer, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Treated Camphorwood Lumber, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(686, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-file.png, High Mythrite File, 1, Luminous Fiber, 3, High Mythrite Ingot, 2, Eikon Leather, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(687, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-raising-hammer.png, High Mythrite Raising Hammer, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Eikon Leather, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(688, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-pliers.png, High Mythrite Pliers, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, null, null, Fire Cluster, 3, Earth Cluster, 2),
(689, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/eikon-iron-lapidary-hammer.png, Eikon Iron Lapidary Hammer, 1, Luminous Fiber, 3, High Mythrite Ingot, 2, Eikon Iron Ingot, 1, Treated Camphorwood Lumber, 1, Gold Ingot, 2, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(690, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-round-knife.png, High Mythrite Round Knife, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Eikon Leather, 1, Wolfram Ingot, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, Fire Cluster, 3, Earth Cluster, 2),
(691, 60 , 195, Master Blacksmith IV, ../../assets/recipe-icons/blacksmith/high-mythrite-awl.png, High Mythrite Awl, 1, Luminous Fiber, 3, High Mythrite Ingot, 3, Cashmere Cloth, 1, Gold Ingot, 1, Mastercraft Demimateria, 1, null, null, Fire Cluster, 3, Earth Cluster, 2),
