(1, 1, null, null, ../../assets/recipe-icons/weaver/hempen-yarn.png, Hempen Yarn, 2, Moko Grass, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(813, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-hat-of-aiming.png, Eikon Cloth Hat of Aiming, 1, Eikon Cloth, 2, Eikon Leather, 1, Wildfowl Feather, 2, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(814, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-hat-of-healing.png, Eikon Cloth Hat of Healing, 1, Eikon Cloth, 2, Eikon Leather, 1, Wildfowl Feather, 2, Crawler Silk, 1, Grade 1 Mind Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(815, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-acton-of-scouting.png, Eikon Cloth Acton of Scouting, 1, Eikon Cloth, 2, Eikon Leather, 1, Eikon Iron Ingot, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(816, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-acton-of-aiming.png, Eikon Cloth Acton of Aiming, 1, Eikon Cloth, 2, Eikon Leather, 1, Eikon Iron Ingot, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(817, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-acton-of-healing.png, Eikon Cloth Acton of Healing, 1, Eikon Cloth, 2, Eikon Leather, 1, Eikon Iron Ingot, 1, Crawler Silk, 1, Grade 1 Mind Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(818, 60 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/expeditioner's-tabard.png, Expeditioner's Tabard, 1, Antique Rug, 2, Antique Leather, 1, Ramie Thread, 1, Titanium Nugget, 1, Larimar, 2, Battlecraft Demimateria III, 3, Lightning Cluster, 3, Wind Cluster, 2),
(819, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-sleeves-of-scouting.png, Eikon Cloth Sleeves of Scouting, 1, Eikon Cloth, 2, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(820, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-sleeves-of-aiming.png, Eikon Cloth Sleeves of Aiming, 1, Eikon Cloth, 2, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(821, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-sleeves-of-healing.png, Eikon Cloth Sleeves of Healing, 1, Eikon Cloth, 2, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Mind Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(822, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-corset-of-casting.png, Eikon Cloth Corset of Casting, 1, Eikon Cloth, 2, Cloud Cloth, 1, Crawler Silk, 1, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(823, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-corset-of-healing.png, Eikon Cloth Corset of Healing, 1, Eikon Cloth, 2, Cloud Cloth, 1, Crawler Silk, 1, Grade 1 Mind Dissolvent, 1, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(824, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-brais-of-maiming.png, Eikon Cloth Brais of Maiming, 1, Eikon Cloth, 2, Eikon Leather, 2, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Strength Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(825, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-brais-of-striking.png, Eikon Cloth Brais of Striking, 1, Eikon Cloth, 2, Eikon Leather, 2, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Strength Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(826, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-culottes-of-scouting.png, Eikon Cloth Culottes of Scouting, 1, Eikon Cloth, 3, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(827, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-culottes-of-aiming.png, Eikon Cloth Culottes of Aiming, 1, Eikon Cloth, 3, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Dexterity Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(828, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-brais-of-casting.png, Eikon Cloth Brais of Casting, 1, Eikon Cloth, 2, Eikon Leather, 2, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Intelligence Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(829, 60 , 220, Master Weaver IV, ../../assets/recipe-icons/weaver/eikon-cloth-culottes-of-healing.png, Eikon Cloth Culottes of Healing, 1, Eikon Cloth, 3, Eikon Leather, 1, Aurum Regis Nugget, 1, Crawler Silk, 1, Grade 1 Mind Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(830, 60 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/expeditioner's-kecks.png, Expeditioner's Kecks, 1, Antique Rug, 2, Antique Leather, 1, Ramie Thread, 1, Battlecraft Demimateria III, 3, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(831, 60 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/expeditioner's-pantalettes.png, Expeditioner's Pantalettes, 1, Antique Rug, 1, Antique Leather, 1, Titanium Rivets, 1, Battlecraft Demimateria III, 3, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(832, 60 , null, Master Weaver IV, ../../assets/recipe-icons/weaver/stormcloud-cotton-cloth.png, Stormcloud Cotton Cloth, 1, Stormcloud Cotton Boll, 2, Whitefrost Cotton Boll, 1, null, null, null, null, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(833, 60 , 190, Master Weaver IV, ../../assets/recipe-icons/weaver/ironworks-cap-of-crafting.png, Ironworks Cap of Crafting, 1, Luminous Fiber, 2, Eikon Cloth, 2, Eikon Fiber, 1, Eikon Iron Ingot, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(834, 60 , 190, Master Weaver IV, ../../assets/recipe-icons/weaver/ironworks-apron-of-crafting.png, Ironworks Apron of Crafting, 1, Luminous Fiber, 3, Eikon Cloth, 2, Eikon Leather, 1, Eikon Fiber, 2, High Mythrite Ingot, 1, Fieldcraft Demimateria III, 3, Lightning Cluster, 3, Wind Cluster, 2),
(835, 60 , 190, Master Weaver IV, ../../assets/recipe-icons/weaver/ironworks-sleeves-of-crafting.png, Ironworks Sleeves of Crafting, 1, Luminous Fiber, 2, Eikon Cloth, 2, Eikon Fiber, 1, High Mythrite Ingot, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 3, Wind Cluster, 2),
(836, 60 , 190, Master Weaver IV, ../../assets/recipe-icons/weaver/ironworks-breeches-of-crafting.png, Ironworks Breeches of Crafting, 1, Luminous Fiber, 2, Eikon Cloth, 1, Eikon Leather, 1, Eikon Fiber, 1, High Mythrite Ingot, 1, Fieldcraft Demimateria III, 2, Lightning Cluster, 3, Wind Cluster, 2),
(837, 60 , 190, Master Weaver IV, ../../assets/recipe-icons/weaver/ironworks-slops-of-gathering.png, Ironworks Slops of Gathering, 1, Luminous Fiber, 2, Eikon Cloth, 1, Eikon Leather, 1, Eikon Fiber, 1, High Mythrite Ingot, 1, Fieldcraft Demimateria III, 2, Lightning Cluster, 3, Wind Cluster, 2),
(838, 60 , null, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet.png, Star Velvet, 1, Star Cotton Boll, 3, Invisible Silk, 2, Arachne Web, 1, null, null, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(839, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-hood-of-casting.png, Star Velvet Hood of Casting, 1, Star Velvet, 2, Scintillant Ingot, 1, Sewing Thread, 1, Cashmere Cloth, 1, Grade 3 Intelligence Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(840, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-hood-of-healing.png, Star Velvet Hood of Healing, 1, Star Velvet, 2, Scintillant Ingot, 1, Sewing Thread, 1, Cashmere Cloth, 1, Grade 3 Mind Dissolvent, 2, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(841, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-tabard-of-striking.png, Star Velvet Tabard of Striking, 1, Star Velvet, 3, Hemicyon Leather, 1, Sewing Thread, 1, Cashmere Cloth, 1, Wolfram Square, 1, Grade 3 Strength Dissolvent, 3, Lightning Cluster, 3, Wind Cluster, 3),
(842, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-tabard-of-scouting.png, Star Velvet Tabard of Scouting, 1, Star Velvet, 3, Hemicyon Leather, 1, Sewing Thread, 1, Cashmere Cloth, 1, Wolfram Square, 1, Grade 3 Dexterity Dissolvent, 3, Lightning Cluster, 3, Wind Cluster, 3),
(843, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-tabard-of-aiming.png, Star Velvet Tabard of Aiming, 1, Star Velvet, 3, Hemicyon Leather, 1, Sewing Thread, 1, Cashmere Cloth, 1, Wolfram Square, 1, Grade 3 Dexterity Dissolvent, 3, Lightning Cluster, 3, Wind Cluster, 3),
(844, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-himation-of-casting.png, Star Velvet Himation of Casting, 1, Star Velvet, 3, Hemicyon Leather, 1, Sewing Thread, 1, Gold Ingot, 1, Sapphire, 1, Grade 3 Intelligence Dissolvent, 3, Lightning Cluster, 3, Wind Cluster, 3),
(845, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-himation-of-healing.png, Star Velvet Himation of Healing, 1, Star Velvet, 3, Hemicyon Leather, 1, Sewing Thread, 1, Gold Ingot, 1, Ruby, 1, Grade 3 Mind Dissolvent, 3, Lightning Cluster, 3, Wind Cluster, 3),
(846, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-long-gloves-of-casting.png, Star Velvet Long Gloves of Casting, 1, Star Velvet, 2, Scintillant Ingot, 1, Sewing Thread, 1, Sapphire, 1, Ruby, 1, Grade 3 Intelligence Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(847, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-long-gloves-of-healing.png, Star Velvet Long Gloves of Healing, 1, Star Velvet, 2, Scintillant Ingot, 1, Sewing Thread, 1, Iolite, 1, Ruby, 1, Grade 3 Mind Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(848, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-sash-of-casting.png, Star Velvet Sash of Casting, 1, Star Velvet, 2, Sewing Thread, 1, Cashmere Cloth, 1, Grade 3 Intelligence Dissolvent, 1, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(849, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-sash-of-healing.png, Star Velvet Sash of Healing, 1, Star Velvet, 2, Sewing Thread, 1, Cashmere Cloth, 1, Grade 3 Mind Dissolvent, 1, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(850, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-fending.png, Sky Rat Breeches of Fending, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Vitality Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(851, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-maiming.png, Sky Rat Breeches of Maiming, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Strength Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(852, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-striking.png, Sky Rat Breeches of Striking, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Strength Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(853, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-scouting.png, Sky Rat Breeches of Scouting, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Dexterity Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(854, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-aiming.png, Sky Rat Breeches of Aiming, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Dexterity Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(855, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-bottoms-of-casting.png, Star Velvet Bottoms of Casting, 1, Star Velvet, 3, Scintillant Ingot, 1, Sewing Thread, 2, Cashmere Cloth, 1, Grade 3 Intelligence Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(856, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-casting.png, Sky Rat Breeches of Casting, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Intelligence Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(857, 60 , 250, Master Weaver IV, ../../assets/recipe-icons/weaver/star-velvet-bottoms-of-healing.png, Star Velvet Bottoms of Healing, 1, Star Velvet, 3, Scintillant Ingot, 1, Sewing Thread, 2, Cashmere Cloth, 1, Grade 3 Mind Dissolvent, 3, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(858, 60 , 255, Master Weaver IV, ../../assets/recipe-icons/weaver/sky-rat-breeches-of-healing.png, Sky Rat Breeches of Healing, 1, Stormcloud Cotton Cloth, 2, Peteinosaur Leather, 1, High Mythrite Nugget, 1, Griffin Leather Strap, 1, Dawnborne Aethersand, 2, Grade 2 Mind Dissolvent, 2, Lightning Cluster, 3, Wind Cluster, 3),
(859, 60 , null, Master Weaver IV, ../../assets/recipe-icons/weaver/trouser-hanger.png, Trouser Hanger, 1, Star Velvet, 2, Chimerical Felt, 1, Crawler Silk, 1, Dark Chestnut Lumber, 1, null, null, null, null, Lightning Cluster, 3, Wind Cluster, 3),
(860, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/taoist's-cap.png, Taoist's Cap, 1, Taoist's Wool, 2, Twinthread, 1, Worsted Yarn, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(861, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/non-la.png, Non La, 1, Ratanhia Leaves, 2, Steppe Serge, 1, Crow Feather, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(862, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/taoist's-shirt.png, Taoist's Shirt, 1, Taoist's Wool, 3, Twinthread, 2, Worsted Yarn, 2, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(863, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/ao-dai.png, Ao Dai, 1, Nagxian Silk, 3, Twinthread, 2, Palladium Nugget, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(864, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/taoist's-slops.png, Taoist's Slops, 1, Taoist's Wool, 2, Twinthread, 1, Worsted Yarn, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(865, 70 , 1, Master Weaver IV, ../../assets/recipe-icons/weaver/quan.png, Quan, 1, Nagxian Silk, 2, Twinthread, 1, null, null, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(866, 70 , null, Master Weaver IV, ../../assets/recipe-icons/weaver/wind-up-susano.png, Wind-up Susano, 1, Blood Pepper, 1, Steppe Serge, 2, Worsted Yarn, 1, Kyanite, 1, Blade of Revelry, 1, null, null, Water Shard, 50, Lightning Shard, 50),
(867, 70 , null, Master Weaver IV, ../../assets/recipe-icons/weaver/wind-up-lakshmi.png, Wind-up Lakshmi, 1, Blood Pepper, 1, Steppe Serge, 2, Worsted Yarn, 1, Palladium Nugget, 1, Blissful Shroud, 1, null, null, Earth Shard, 50, Wind Shard, 50),
(868, 70 , null, Master Weaver V, ../../assets/recipe-icons/weaver/wind-up-chimera.png, Wind-up Chimera, 1, Twinsilk, 2, Steppe Serge, 2, Chimerical Felt, 2, Sewing Thread, 2, Allagan Catalyst, 1, null, null, Lightning Crystal, 6, Wind Crystal, 6),
(869, 70 , null, Master Weaver V, ../../assets/recipe-icons/weaver/wind-up-shinryu.png, Wind-up Shinryu, 1, Royal Fern, 1, Twinsilk, 1, Worsted Yarn, 1, Shinryu's Scale, 1, null, null, null, null, Lightning Shard, 50, Wind Shard, 50),
(870, 70 , null, Master Weaver V, ../../assets/recipe-icons/weaver/rhea-cloth.png, Rhea Cloth, 1, Rhea, 4, Bloodhempen Yarn, 1, Doman Weave, 2, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(871, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-turban-of-crafting.png, Ala Mhigan Turban of Crafting, 1, Ala Mhigan Burdet, 2, Rhea Cloth, 1, Twinsilk, 2, Palladium Nugget, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(872, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-turban-of-gathering.png, Ala Mhigan Turban of Gathering, 1, Ala Mhigan Burdet, 2, Rhea Cloth, 1, Twinsilk, 2, Palladium Nugget, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(873, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-tabard-of-aiming.png, Indigo Ramie Tabard of Aiming, 1, Rhea Cloth, 3, True Griffin Leather, 1, Molybdenum Ingot, 1, Rhodonite, 1, Everbright Aethersand, 3, Grade 2 Reisui of Dexterity, 2, Lightning Cluster, 2, Wind Cluster, 2),
(874, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-robe-of-casting.png, Indigo Ramie Robe of Casting, 1, Rhea Cloth, 3, Palladium Ingot, 1, Twinthread, 1, Triphane, 2, Everbright Aethersand, 3, Grade 2 Reisui of Intelligence, 2, Lightning Cluster, 2, Wind Cluster, 2),
(875, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-robe-of-healing.png, Indigo Ramie Robe of Healing, 1, Rhea Cloth, 3, Palladium Ingot, 1, Twinthread, 1, Triphane, 2, Everbright Aethersand, 3, Grade 2 Reisui of Mind, 2, Lightning Cluster, 2, Wind Cluster, 2),
(876, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-doublet-of-crafting.png, Ala Mhigan Doublet of Crafting, 1, Ala Mhigan Burdet, 3, True Griffin Leather, 1, Twinsilk, 2, Twinthread, 1, Fieldcraft Demimateria III, 3, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(877, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-coat-of-gathering.png, Ala Mhigan Coat of Gathering, 1, Ala Mhigan Burdet, 3, True Griffin Leather, 1, Twinsilk, 2, Twinthread, 1, Fieldcraft Demimateria III, 3, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(878, 70 , 1, Master Weaver V, ../../assets/recipe-icons/weaver/thavnairian-wool-autumn-shirt.png, Thavnairian Wool Autumn Shirt, 1, Thavnairian Wool, 3, Bloodhempen Cloth, 1, Palladium Nugget, 1, Sewing Thread, 1, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(879, 70 , 1, Master Weaver V, ../../assets/recipe-icons/weaver/thavnairian-wool-autumn-dress.png, Thavnairian Wool Autumn Dress, 1, Thavnairian Wool, 3, Bloodhempen Cloth, 1, Palladium Nugget, 1, Sewing Thread, 1, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(880, 70 , 1, Master Weaver V, ../../assets/recipe-icons/weaver/hannish-wool-autumn-shirt.png, Hannish Wool Autumn Shirt, 1, Hannish Wool, 3, Gyuki Leather, 2, Koppranickel Nugget, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(881, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-fending.png, Indigo Ramie Sash of Fending, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Vitality, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(882, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-maiming.png, Indigo Ramie Sash of Maiming, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Strength, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(883, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-striking.png, Indigo Ramie Sash of Striking, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Strength, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(884, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-scouting.png, Indigo Ramie Sash of Scouting, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Dexterity, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(885, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-aiming.png, Indigo Ramie Sash of Aiming, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Dexterity, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(886, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-casting.png, Indigo Ramie Sash of Casting, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Intelligence, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(887, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sash-of-healing.png, Indigo Ramie Sash of Healing, 1, Rhea Cloth, 2, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 1, Grade 2 Reisui of Mind, 1, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(888, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sarouel-of-striking.png, Indigo Ramie Sarouel of Striking, 1, Rhea Cloth, 3, True Griffin Leather, 1, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 3, Grade 2 Reisui of Strength, 2, Lightning Cluster, 2, Wind Cluster, 2),
(889, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-sarouel-of-scouting.png, Indigo Ramie Sarouel of Scouting, 1, Rhea Cloth, 3, True Griffin Leather, 1, Palladium Nugget, 1, Twinthread, 1, Everdeep Aethersand, 3, Grade 2 Reisui of Dexterity, 2, Lightning Cluster, 2, Wind Cluster, 2),
(890, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-skirt-of-casting.png, Indigo Ramie Skirt of Casting, 1, Rhea Cloth, 3, Palladium Ingot, 1, Twinthread, 1, Star Spinel, 1, Everdeep Aethersand, 3, Grade 2 Reisui of Intelligence, 2, Lightning Cluster, 2, Wind Cluster, 2),
(891, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/indigo-ramie-skirt-of-healing.png, Indigo Ramie Skirt of Healing, 1, Rhea Cloth, 3, Palladium Ingot, 1, Twinthread, 1, Triphane, 1, Everdeep Aethersand, 3, Grade 2 Reisui of Mind, 2, Lightning Cluster, 2, Wind Cluster, 2),
(892, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-bottoms-of-crafting.png, Ala Mhigan Bottoms of Crafting, 1, Ala Mhigan Burdet, 2, Rhea Cloth, 1, Gazelle Leather, 2, Twinthread, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(893, 70 , 320, Master Weaver V, ../../assets/recipe-icons/weaver/ala-mhigan-bottoms-of-gathering.png, Ala Mhigan Bottoms of Gathering, 1, Ala Mhigan Burdet, 2, Rhea Cloth, 1, Gazelle Leather, 2, Twinthread, 1, Fieldcraft Demimateria III, 2, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(894, 70 , 1, Master Weaver VI, ../../assets/recipe-icons/weaver/boulevardier's-hat.png, Boulevardier's Hat, 1, Boutique Batiste, 1, True Linen, 1, Twinthread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(895, 70 , 1, Master Weaver VI, ../../assets/recipe-icons/weaver/quaintrelle's-hat.png, Quaintrelle's Hat, 1, Cloth Cointe Quaint, 1, True Linen, 1, Twinthread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(896, 70 , 1, Master Weaver VI, ../../assets/recipe-icons/weaver/adventuring-sweater.png, Adventuring Sweater, 1, Steppe Serge, 2, Worsted Yarn, 3, Holy Linen, 2, Palladium Nugget, 1, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
(897, 70 , 1, Master Weaver VI, ../../assets/recipe-icons/weaver/ala-mhigan-gown.png, Ala Mhigan Gown, 1, Ala Mhigan Weave, 2, Rhea Cloth, 1, Worsted Yarn, 1, Sewing Thread, 1, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 2),
