(1, 1, null, null, ../../assets/recipe-icons/distilled-water.png, Distilled Water, 1, Muddy Water, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(547, 23, null, null, ../../assets/recipe-icons/glade-cottage-roof-(composite).png, Glade Cottage Roof (Composite), 1, Roof Tile, 15, Elm Lumber, 10, Iron Joint Plate, 10, Iron Nails, 10, null, null, null, null, Water Shard, 8, Lightning Shard, 4),
(548, 24, null, null, ../../assets/recipe-icons/pyrepods.png, Pyrepods, 1, Growth Formula Beta, 4, Weak Poisoning Potion, 9, Dungeon Seedling, 2, Humus, 3, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(549, 24, null, null, ../../assets/recipe-icons/unbreakable-rock.png, Unbreakable Rock, 1, Effervescent Water, 12, Limestone, 12, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(550, 25, null, null, ../../assets/recipe-icons/half-barrel-planter.png, Half Barrel Planter, 1, Growth Formula Beta, 2, Walnut Lumber, 2, Iron Rivets, 1, Shroud Seedling, 3, Humus, 3, null, null, Water Shard, 2, Lightning Shard, 2),
(551, 25, null, null, ../../assets/recipe-icons/blue-coral-formation.png, Blue Coral Formation, 1, Blue Coral, 4, Seagrot Water, 4, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(552, 25, null, null, ../../assets/recipe-icons/turnkey's-cups.png, Turnkey's Cups, 1, Growth Formula Beta, 4, Weak Silencing Potion, 9, Dungeon Seedling, 2, Humus, 3, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(553, 26, null, null, ../../assets/recipe-icons/bisque-flooring.png, Bisque Flooring, 1, Mudstone, 6, Potter's Clay, 6, Mortar, 4, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(554, 28, null, null, ../../assets/recipe-icons/campfire.png, Campfire, 1, Bomb Ash, 4, Yew Branch, 6, Mudstone, 6, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 2),
(555, 30, null, null, ../../assets/recipe-icons/stone-interior-wall.png, Stone Interior Wall, 1, Fine Sand, 4, Mortar, 4, Steel Rivets, 2, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(556, 30, null, null, ../../assets/recipe-icons/stone-flooring.png, Stone Flooring, 1, Fine Sand, 4, Mortar, 4, Steel Rivets, 2, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(557, 30, null, null, ../../assets/recipe-icons/botanist's-garden.png, Botanist's Garden, 1, Millioncorn Seeds, 1, La Noscean Lettuce Seeds, 1, Growth Formula Gamma, 2, Potting Soil, 3, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(558, 31, null, null, ../../assets/recipe-icons/oasis-interior-wall.png, Oasis Interior Wall, 1, Mortar, 8, Brass Ingot, 4, null, null, null, null, null, null, null, null, Water Shard, 3, Lightning Shard, 3),
(559, 33, null, null, ../../assets/recipe-icons/mossy-rock.png, Mossy Rock, 1, Growth Formula Gamma, 4, Siltstone, 12, null, null, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(560, 35, null, null, ../../assets/recipe-icons/rounded-shrub.png, Rounded Shrub, 1, Shroud Seedling, 6, Growth Formula Gamma, 6, null, null, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 3),
(561, 36, null, null, ../../assets/recipe-icons/riviera-house-roof-(wood).png, Riviera House Roof (Wood), 1, Roof Tile, 30, Oak Lumber, 5, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Water Shard, 16, Lightning Shard, 16),
(562, 37, null, null, ../../assets/recipe-icons/lotus-parasol.png, Lotus Parasol, 1, Lotus Leaf, 1, Walnut Lumber, 2, Beeswax, 4, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 4),
(563, 40, null, null, ../../assets/recipe-icons/glade-house-roof-(composite).png, Glade House Roof (Composite), 1, Roof Tile, 30, Walnut Lumber, 10, Steel Joint Plate, 10, Steel Nails, 10, null, null, null, null, Water Shard, 20, Lightning Shard, 16),
(564, 41, null, null, ../../assets/recipe-icons/water-lilies.png, Water Lilies, 1, Young Water Lily, 3, Potter's Clay, 6, Growth Formula Gamma, 5, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(565, 45, null, null, ../../assets/recipe-icons/planter-box.png, Planter Box, 1, Shroud Seedling, 3, Rosewood Lumber, 3, Growth Formula Gamma, 3, Potter's Clay, 3, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(566, 46, null, null, ../../assets/recipe-icons/bloodblossoms.png, Bloodblossoms, 1, Growth Formula Gamma, 4, Spoken Blood, 4, Carnivorous Seedling, 3, Humus, 3, null, null, null, null, Water Shard, 6, Lightning Shard, 5),
(567, 49, null, null, ../../assets/recipe-icons/death's-fingers.png, Death's Fingers, 1, Growth Formula Gamma, 4, Potent Poisoning Potion, 12, Carnivorous Seedling, 3, Humus, 3, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(568, 50, null, null, ../../assets/recipe-icons/country-interior-wall.png, Country Interior Wall, 1, Clinker Bricks, 5, Mortar, 4, Marble, 3, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(569, 50, null, null, ../../assets/recipe-icons/country-flooring.png, Country Flooring, 1, Marble, 6, Cut Stone, 4, Mortar, 4, null, null, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(570, 50, null, null, ../../assets/recipe-icons/large-planter-box.png, Large Planter Box, 1, Mahogany Lumber, 3, Island Seedling, 3, Growth Formula Gamma, 3, Rosewood Lumber, 2, null, null, null, null, Water Shard, 6, Lightning Shard, 6),
(571, 50 , null, null, ../../assets/recipe-icons/corner-hedge-partition.png, Corner Hedge Partition, 1, Shroud Seedling, 12, Growth Formula Gamma, 6, null, null, null, null, null, null, null, null, Water Crystal, 3, Lightning Crystal, 2),
(572, 50 , null, null, ../../assets/recipe-icons/hedge-partition.png, Hedge Partition, 1, Shroud Seedling, 6, Growth Formula Delta, 6, null, null, null, null, null, null, null, null, Water Crystal, 3, Lightning Crystal, 2),
(573, 50 , null, null, ../../assets/recipe-icons/riviera-mansion-roof-(wood).png, Riviera Mansion Roof (Wood), 1, Roof Tile, 45, Spruce Lumber, 5, Cobalt Joint Plate, 10, Cobalt Nails, 10, Felt Lining, 10, null, null, Water Crystal, 12, Lightning Crystal, 8),
(574, 50 , null, null, ../../assets/recipe-icons/glade-mansion-roof-(composite).png, Glade Mansion Roof (Composite), 1, Roof Tile, 30, Rosewood Lumber, 10, Cobalt Joint Plate, 10, Cobalt Nails, 10, Clinker Bricks, 10, null, null, Water Crystal, 12, Lightning Crystal, 8),
(575, 50 , null, null, ../../assets/recipe-icons/glade-hedgewall.png, Glade Hedgewall, 1, Shroud Seedling, 15, Rosewood Lumber, 30, Growth Formula Delta, 15, null, null, null, null, null, null, Water Shard, 28, Lightning Shard, 24),
(576, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-recreation.png, Grade 1 Wheel of Recreation, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(577, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-confrontation.png, Grade 1 Wheel of Confrontation, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(578, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-productivity.png, Grade 1 Wheel of Productivity, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(579, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-industry.png, Grade 1 Wheel of Industry, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(580, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-longeing.png, Grade 1 Wheel of Longeing, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(581, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-rivalry.png, Grade 1 Wheel of Rivalry, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(582, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-company.png, Grade 1 Wheel of Company, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(583, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-initiation.png, Grade 1 Wheel of Initiation, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(584, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-capacity.png, Grade 1 Wheel of Capacity, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(585, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-observation.png, Grade 1 Wheel of Observation, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(586, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-efficiency.png, Grade 1 Wheel of Efficiency, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(587, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-precision.png, Grade 1 Wheel of Precision, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(588, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-dedication.png, Grade 1 Wheel of Dedication, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(589, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-nutriment.png, Grade 1 Wheel of Nutriment, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(590, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-permanence.png, Grade 1 Wheel of Permanence, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(591, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-revival.png, Grade 1 Wheel of Revival, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(592, 50 , null, null, ../../assets/recipe-icons/grade-1-wheel-of-pilgrimage.png, Grade 1 Wheel of Pilgrimage, 1, Unaspected Crystal, 1, Silver Ingot, 1, Enchanted Gold Ink, 1, Minium, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(593, 50 , null, null, ../../assets/recipe-icons/wild-banana-tree.png, Wild Banana Tree, 1, Wild Banana Shoot, 3, Growth Formula Delta Concentrate, 4, Humus, 6, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(594, 55, null, null, ../../assets/recipe-icons/lupin-plot.png, Lupin Plot, 1, Lupin Seedling, 2, Growth Formula Epsilon, 5, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(595, 55, null, null, ../../assets/recipe-icons/topiary-chocobo.png, Topiary Chocobo, 1, Shrub Seedling, 3, Birch Branch, 3, Growth Formula Epsilon, 3, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(596, 55, null, null, ../../assets/recipe-icons/topiary-sabotender.png, Topiary Sabotender, 1, Shrub Seedling, 3, Dark Chestnut Branch, 1, Growth Formula Epsilon, 5, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(597, 55, null, null, ../../assets/recipe-icons/topiary-moogle.png, Topiary Moogle, 1, Shrub Seedling, 3, Dark Chestnut Branch, 1, Growth Formula Epsilon, 5, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(598, 55, null, null, ../../assets/recipe-icons/topiary-paissa.png, Topiary Paissa, 1, Shrub Seedling, 3, Dark Chestnut Branch, 2, Growth Formula Epsilon, 4, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(599, 55, null, null, ../../assets/recipe-icons/topiary-carbuncle.png, Topiary Carbuncle, 1, Shrub Seedling, 3, Birch Branch, 5, Growth Formula Epsilon, 3, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 4),
(600, 59, null, null, ../../assets/recipe-icons/oriental-grass-plot.png, Oriental Grass Plot, 1, Oriental Grass Tuft, 2, Growth Formula Zeta, 5, null, null, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(601, 78, null, null, ../../assets/recipe-icons/florist's-stall.png, Florist's Stall, 1, Walnut Dining Table, 1, Glade Pendant Lamp, 1, Dwarven Cotton, 3, Yellow Tulips, 2, Blue Violas, 2, Growth Formula Kappa, 4, Water Crystal, 28, Lightning Crystal, 28),
(602, 78, null, null, ../../assets/recipe-icons/bookseller's-stall.png, Bookseller's Stall, 1, Walnut Dining Table, 1, Glade Pendant Lamp, 1, Dwarven Cotton, 3, Enchanted Dimythrite Ink, 4, Zonure Leather, 4, Enchanted Manasilver Ink, 2, Water Crystal, 28, Lightning Crystal, 28),
(603, 78, null, null, ../../assets/recipe-icons/enchanter's-stall.png, Enchanter's Stall, 1, Walnut Dining Table, 1, Glade Pendant Lamp, 1, Dwarven Cotton, 3, Titanbronze Nugget, 4, Pixie Cotton, 3, Enchanted Dimythrite Ink, 3, Water Crystal, 28, Lightning Crystal, 28),
(604, 78, null, null, ../../assets/recipe-icons/vegetable-garden.png, Vegetable Garden, 1, Paprika, 3, Coerthan Carrot, 3, Daikon Radish, 3, Growth Formula Kappa, 3, Potting Soil, 5, null, null, Water Crystal, 28, Lightning Crystal, 28),
(605, 80, null, null, ../../assets/recipe-icons/storm-blue-interior-wall.png, Storm Blue Interior Wall, 1, Dwarven Mythril Nugget, 6, Cut Stone, 6, Granite, 4, Mortar, 4, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(606, 80, null, null, ../../assets/recipe-icons/cloud-acorn-chandelier.png, Cloud Acorn Chandelier, 1, Cloud Acorn, 6, Crystal Glass, 4, Starch Glue, 3, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(607, 80, null, null, ../../assets/recipe-icons/brick-garden-wall.png, Brick Garden Wall, 1, Firebricks, 10, Growth Formula Kappa, 4, Oldrose Seeds, 2, Viola Seeds, 2, Humus, 2, null, null, Water Crystal, 7, Lightning Crystal, 7),
(608, 80, null, null, ../../assets/recipe-icons/red-brick-kitchen.png, Red Brick Kitchen, 1, Firebricks, 12, Titanbronze Ingot, 5, Lignum Vitae Lumber, 3, Firewood, 1, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(609, 80, null, null, ../../assets/recipe-icons/fruitful-fountain.png, Fruitful Fountain, 1, Clinker Bricks, 5, Firebricks, 4, Shroud Seedling, 4, Humus, 4, Growth Formula Kappa, 4, null, null, Water Crystal, 7, Lightning Crystal, 7),
(610, 80, null, null, ../../assets/recipe-icons/brick-paving.png, Brick Paving, 1, Clinker Bricks, 5, Firebricks, 5, Mortar, 3, Volcanic Tuff, 3, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(611, 80, null, null, ../../assets/recipe-icons/garden-tool-shelf.png, Garden Tool Shelf, 1, Riviera Open-shelf Bookcase, 1, Shroud Seedling, 6, Humus, 8, Yak Milk, 4, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(612, 80, null, null, ../../assets/recipe-icons/artist's-show-window.png, Artist's Show Window, 1, Showcase, 1, Grade 1 Picture Frame, 3, Enchanted Dimythrite Ink, 3, null, null, null, null, null, null, Water Crystal, 28, Lightning Crystal, 28),
(613, 80, null, null, ../../assets/recipe-icons/glade-gazebo.png, Glade Gazebo, 1, Clinker Bricks, 6, Firebricks, 5, Lignum Vitae Lumber, 6, Riviera Lantern, 1, null, null, null, null, Water Crystal, 28, Lightning Crystal, 28),
(614, 12, null, null, ../../assets/recipe-icons/honey-pot.png, Honey Pot, 1, Potter's Clay, 3, Beehive Chip, 6, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(615, 13, null, null, ../../assets/recipe-icons/terracotta-pot.png, Terracotta Pot, 1, Potter's Clay, 9, Straw, 3, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(616, 15, null, null, ../../assets/recipe-icons/ink-&-quill.png, Ink & Quill, 1, Enchanted Iron Ink, 3, Cock Feather, 1, null, null, null, null, null, null, null, null, Water Shard, 1, Lightning Shard, 1),
(617, 22, null, null, ../../assets/recipe-icons/potted-maguey.png, Potted Maguey, 1, Growth Formula Beta, 3, Potter's Clay, 6, Desert Seedling, 2, Humus, 1, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(618, 23, null, null, ../../assets/recipe-icons/riviera-flower-vase.png, Riviera Flower Vase, 1, Growth Formula Beta, 2, Island Seedling, 3, Iron Ingot, 3, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(619, 23, null, null, ../../assets/recipe-icons/glade-flower-vase.png, Glade Flower Vase, 1, Growth Formula Beta, 2, Shroud Seedling, 3, Elm Lumber, 3, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(620, 23, null, null, ../../assets/recipe-icons/oasis-flower-vase.png, Oasis Flower Vase, 1, Growth Formula Beta, 2, Desert Seedling, 3, Brass Ingot, 3, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 1),
(621, 27, null, null, ../../assets/recipe-icons/wall-planter.png, Wall Planter, 1, Island Seedling, 3, Walnut Lumber, 2, Iron Rivets, 2, Humus, 3, null, null, null, null, Water Shard, 3, Lightning Shard, 2),
(622, 33, null, null, ../../assets/recipe-icons/potted-axilflower.png, Potted Axilflower, 1, Growth Formula Gamma, 2, Island Seedling, 3, Steel Ingot, 2, Potter's Clay, 2, Humus, 1, null, null, Water Shard, 4, Lightning Shard, 3),
(623, 33, null, null, ../../assets/recipe-icons/potted-azalea.png, Potted Azalea, 1, Growth Formula Gamma, 2, Shroud Seedling, 3, Yew Lumber, 2, Iron Ingot, 2, Humus, 1, null, null, Water Shard, 4, Lightning Shard, 3),
(624, 33, null, null, ../../assets/recipe-icons/potted-spider-plant.png, Potted Spider Plant, 1, Growth Formula Gamma, 2, Desert Seedling, 3, Brass Ingot, 2, Potter's Clay, 2, Humus, 1, null, null, Water Shard, 4, Lightning Shard, 3),
(625, 34, null, null, ../../assets/recipe-icons/oak-low-barrel-planter.png, Oak Low Barrel Planter, 1, Growth Formula Gamma, 2, Oak Lumber, 2, Steel Rivets, 2, Island Seedling, 3, Humus, 3, null, null, Water Shard, 4, Lightning Shard, 3),
(626, 39, null, null, ../../assets/recipe-icons/planter-partition.png, Planter Partition, 1, Island Seedling, 3, Mahogany Lumber, 4, Elm Lumber, 4, Humus, 3, null, null, null, null, Water Shard, 5, Lightning Shard, 4),
(627, 43, null, null, ../../assets/recipe-icons/sylphic-flower-vase.png, Sylphic Flower Vase, 1, Growth Formula Gamma, 2, Shroud Seedling, 3, Electrum Ingot, 3, Mahogany Lumber, 1, Sylphic Silk, 1, null, null, Water Shard, 5, Lightning Shard, 5),
(628, 43, null, null, ../../assets/recipe-icons/bathroom-wall-tiles.png, Bathroom Wall Tiles, 1, Potter's Clay, 3, Cut Stone, 2, Varnish, 1, null, null, null, null, null, null, Water Shard, 5, Lightning Shard, 5),
(629, 43, null, null, ../../assets/recipe-icons/bathroom-floor-tiles.png, Bathroom Floor Tiles, 1, Potter's Clay, 10, Cut Stone, 5, Varnish, 3, Steel Plate, 1, null, null, null, null, Water Shard, 5, Lightning Shard, 5),
(630, 50 , null, null, ../../assets/recipe-icons/potted-dragon-tree.png, Potted Dragon Tree, 1, Desert Seedling, 3, Spruce Lumber, 4, Darksteel Nugget, 4, Humus, 3, null, null, null, null, Water Crystal, 3, Lightning Crystal, 2),
(631, 50 , null, null, ../../assets/recipe-icons/potted-oliphant's-ear.png, Potted Oliphant's Ear, 1, Spruce Lumber, 3, Island Seedling, 3, Humus, 3, Rose Gold Nugget, 5, null, null, null, null, Water Crystal, 3, Lightning Crystal, 2),
(632, 50 , null, null, ../../assets/recipe-icons/stuffed-mazlaya-marlin.png, Stuffed Mazlaya Marlin, 1, Mazlaya Marlin, 1, Darksteel Nugget, 2, Black Alumen, 3, Rope Belt, 1, Zircon, 2, null, null, Water Crystal, 3, Lightning Crystal, 2),
(633, 50 , null, null, ../../assets/recipe-icons/potted-umbrella-fig.png, Potted Umbrella Fig, 1, Umbrella Fig Seeds, 3, Potter's Clay, 3, Humus, 3, Growth Formula Delta Concentrate, 4, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(634, 50 , null, null, ../../assets/recipe-icons/stuffed-takitaro.png, Stuffed Takitaro, 1, Takitaro, 1, Treated Spruce Lumber, 1, Black Alumen, 2, Darksteel Rivets, 2, Black Pearl, 2, null, null, Water Cluster, 1, Lightning Cluster, 1),
(635, 60, null, null, ../../assets/recipe-icons/botanist's-dried-herbs.png, Botanist's Dried Herbs, 1, Gaelicatnip, 1, Dandelion, 1, Rue, 1, Coriander, 1, Chamomile, 1, Holy Water, 1, Water Crystal, 6, Lightning Crystal, 5),
(636, 64, null, null, ../../assets/recipe-icons/bag-of-booty.png, Bag of Booty, 1, Salvaged Coinage, 2, Ruby Cotton Cloth, 1, Kudzu Thread, 1, Natron, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 3),
(637, 80, null, null, ../../assets/recipe-icons/cosmetics-box.png, Cosmetics Box, 1, Lignum Vitae Lumber, 2, Growth Formula Kappa, 2, Red Pigment, 1, Purple Pigment, 1, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(638, 80, null, null, ../../assets/recipe-icons/dishware.png, Dishware, 1, Sour Red, 1, Silex, 2, Potter's Clay, 2, Refined Natron, 1, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(639, 80, null, null, ../../assets/recipe-icons/oldrose-wall-planter.png, Oldrose Wall Planter, 1, Lignum Vitae Lumber, 3, Growth Formula Kappa, 2, Humus, 2, Oldrose Seeds, 3, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(640, 80, null, null, ../../assets/recipe-icons/crystarium-wardrobe.png, Crystarium Wardrobe, 1, Lignum Vitae Lumber, 4, Dwarven Cotton, 3, Pixie Cotton, 3, Crystal Glass, 6, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(641, 80, null, null, ../../assets/recipe-icons/indoor-oriental-garden.png, Indoor Oriental Garden, 1, Granite, 6, Crescent Spring Water, 3, Fine Sand, 5, Bamboo Stick, 3, Pine Bonsai, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(642, 80, null, null, ../../assets/recipe-icons/indoor-pond.png, Indoor Pond, 1, Firebricks, 10, Growth Formula Kappa, 4, Underground Spring Water, 4, Island Seedling, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(643, 80, null, null, ../../assets/recipe-icons/florist's-counter.png, Florist's Counter, 1, Glade Desk, 1, Viola Seeds, 1, Tulip Bulbs, 1, Hydrangea Seeds, 1, Growth Formula Kappa, 2, null, null, Water Crystal, 7, Lightning Crystal, 7),
(644, 80, null, null, ../../assets/recipe-icons/rose-trellis.png, Rose Trellis, 1, Lignum Vitae Lumber, 3, Oldrose Seeds, 2, Growth Formula Kappa, 2, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(645, 80, null, null, ../../assets/recipe-icons/red-brick-counter.png, Red Brick Counter, 1, Clinker Bricks, 5, Firebricks, 4, Lignum Vitae Lumber, 3, Mortar, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(646, 80, null, null, ../../assets/recipe-icons/dish-rack.png, Dish Rack, 1, Lignum Vitae Lumber, 4, Straw, 1, Messy Dishes, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(647, 80, null, null, ../../assets/recipe-icons/art-showcase.png, Art Showcase, 1, Showcase, 1, Grade 1 Picture Frame, 3, Enchanted Dimythrite Ink, 3, null, null, null, null, null, null, Water Crystal, 28, Lightning Crystal, 28),
(648, 50, null, null, ../../assets/recipe-icons/rarefied-archaeoskin-grimoire.png, Rarefied Archaeoskin Grimoire, 1, Archaeornis Leather, 2, Electrum Ingot, 1, Enchanted Mythrite Ink, 1, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(649, 52, null, null, ../../assets/recipe-icons/rarefied-archaeoskin-codex.png, Rarefied Archaeoskin Codex, 1, Archaeornis Leather, 2, Hippogryph Leather, 1, Enchanted Mythrite Ink, 1, null, null, null, null, null, null, Water Crystal, 3, Lightning Crystal, 3),
(650, 54, null, null, ../../assets/recipe-icons/rarefied-dissolvent.png, Rarefied Dissolvent, 1, Deepeye Tears, 4, Mist Dill, 3, Volcanic Rock Salt, 1, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 3),
(651, 56, null, null, ../../assets/recipe-icons/rarefied-dhalmelskin-codex.png, Rarefied Dhalmelskin Codex, 1, Dhalmel Leather, 2, Hardsilver Nugget, 1, Enchanted Hardsilver Ink, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 4),
(652, 58, null, null, ../../assets/recipe-icons/rarefied-max-potion.png, Rarefied Max-Potion, 1, Abalathian Spring Water, 2, Highland Oregano, 2, Coneflower, 2, Cow Bitter, 2, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(653, 60, null, null, ../../assets/recipe-icons/rarefied-book-of-aurum-regis.png, Rarefied Book of Aurum Regis, 1, Aurum Regis Nugget, 2, Hardsilver Ingot, 1, Enchanted Aurum Regis Ink, 1, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(654, 62, null, null, ../../assets/recipe-icons/rarefied-koppranickel-index.png, Rarefied Koppranickel Index, 1, Koppranickel Nugget, 2, Beech Lumber, 1, Enchanted Koppranickel Ink, 1, null, null, null, null, null, null, Water Crystal, 3, Lightning Crystal, 3),
(655, 64, null, null, ../../assets/recipe-icons/rarefied-reisui.png, Rarefied Reisui, 1, Gyr Abanian Mineral Water, 2, Holy Basil, 2, Dandelion, 2, Diatomite, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 3),
(656, 66, null, null, ../../assets/recipe-icons/rarefied-tigerskin-grimoire.png, Rarefied Tigerskin Grimoire, 1, Tiger Leather, 2, Pine Lumber, 1, Enchanted Durium Ink, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 4),
(657, 68, null, null, ../../assets/recipe-icons/rarefied-growth-formula.png, Rarefied Growth Formula, 1, Windtea Leaves, 3, Persimmon Tannin, 2, Perlite, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
