(1, 1, null, null, ../../assets/recipe-icons/culinarian/table-salt.png, Table Salt, 6, Rock Salt, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(224, 74, 403, null, ../../assets/recipe-icons/culinarian/pixie-apple-pie.png, Pixie Apple Pie, 3, Upland Wheat Flour, 1, Pixie Apple, 2, Golden Honey, 1, Fermented Butter, 1, Cinnamon, 1, null, null, Fire Crystal, 7, Water Crystal, 6),
(225, 75, null, null, ../../assets/recipe-icons/culinarian/night-vinegar.png, Night Vinegar, 3, Royal Grapes, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 7, null, null),
(226, 75, 406, null, ../../assets/recipe-icons/culinarian/nut-bake.png, Nut Bake, 3, Upland Wheat Flour, 1, Golden Honey, 1, Lorikeet Egg, 1, Almonds, 1, Gridanian Walnut, 1, Yak Milk, 1, Fire Crystal, 7, Water Crystal, 6),
(227, 75, 406, null, ../../assets/recipe-icons/culinarian/blood-tomato-salad.png, Blood Tomato Salad, 3, Night Vinegar, 1, Blood Tomato, 1, La Noscean Lettuce, 1, Cyclops Onion, 1, Table Salt, 1, null, null, Fire Crystal, 7, Water Crystal, 6),
(228, 75, 406, null, ../../assets/recipe-icons/culinarian/mushroom-saute.png, Mushroom Saute, 3, Creamtop Mushroom, 1, Frantoio Oil, 1, Abalathian Rock Salt, 1, Fermented Butter, 1, null, null, null, null, Fire Crystal, 7, Water Crystal, 6),
(229, 76, 409, null, ../../assets/recipe-icons/culinarian/sausage-links.png, Sausage Links, 3, Ovim Meat, 1, Sheep Casings, 1, Garden Beet Sugar, 1, Table Salt, 1, Night Pepper, 1, null, null, Fire Crystal, 7, Water Crystal, 6),
(230, 76, 409, null, ../../assets/recipe-icons/culinarian/roast-ovim.png, Roast Ovim, 3, Ovim Meat, 1, Night Vinegar, 1, Night Pepper, 1, Ala Mhigan Salt Crystal, 1, Smooth Butter, 1, Russet Popoto, 1, Fire Crystal, 7, Water Crystal, 6),
(231, 76, 409, null, ../../assets/recipe-icons/culinarian/mushroom-skewer.png, Mushroom Skewer, 3, Amber Cloves, 1, Creamtop Mushroom, 2, Blood Tomato, 1, Ramhorn Zucchini, 1, Abalathian Rock Salt, 1, null, null, Fire Crystal, 7, Water Crystal, 6),
(232, 76, 409, null, ../../assets/recipe-icons/culinarian/baked-megapiranha.png, Baked Megapiranha, 3, Megapiranha, 3, Ala Mhigan Salt Crystal, 1, Creamtop Mushroom, 2, Fermented Butter, 1, null, null, null, null, Fire Crystal, 7, Water Crystal, 6),
(233, 77, 412, null, ../../assets/recipe-icons/culinarian/peppered-popotoes.png, Peppered Popotoes, 3, Sausage Links, 1, Russet Popoto, 2, Curly Parsley, 1, Abalathian Rock Salt, 1, Night Pepper, 1, null, null, Fire Crystal, 7, Water Crystal, 7),
(234, 77, 412, null, ../../assets/recipe-icons/culinarian/popotoes-au-gratin.png, Popotoes au Gratin, 3, Russet Popoto, 1, Upland Wheat Flour, 1, Steppe Milk, 1, Cyclops Onion, 1, Cream Cheese, 1, Night Pepper, 1, Fire Crystal, 7, Water Crystal, 7),
(235, 77, 412, null, ../../assets/recipe-icons/culinarian/masala-chai.png, Masala Chai, 3, Amber Cloves, 1, Underground Spring Water, 1, Coerthan Tea Leaves, 1, Steppe Milk, 1, Cinnamon, 1, null, null, Fire Crystal, 7, Water Crystal, 7),
(236, 78, 415, null, ../../assets/recipe-icons/culinarian/risotto-al-nero.png, Risotto al Nero, 3, Squid Ink, 1, Bomba Rice, 1, Curly Parsley, 1, Blood Tomato, 1, Frantoio Oil, 1, Ala Mhigan Salt Crystal, 1, Fire Crystal, 7, Water Crystal, 7),
(237, 78, 415, null, ../../assets/recipe-icons/culinarian/espresso-con-panna.png, Espresso con Panna, 3, Coffee Beans, 1, Underground Spring Water, 1, Sour Cream, 1, Garden Beet Sugar, 1, Cinnamon, 1, null, null, Fire Crystal, 7, Water Crystal, 7),
(238, 78, 415, null, ../../assets/recipe-icons/culinarian/mist-spinach-saute.png, Mist Spinach Saute, 3, Mist Spinach, 1, Night Vinegar, 1, Fermented Butter, 1, Night Pepper, 1, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(239, 79, 418, null, ../../assets/recipe-icons/culinarian/blood-bouillabaisse.png, Blood Bouillabaisse, 3, Blood Tomato, 2, Frantoio Oil, 1, Rose Shrimp, 1, Sweetflesh Oyster, 2, Cyclops Onion, 1, Desert Saffron, 1, Fire Crystal, 7, Water Crystal, 7),
(240, 79, 418, null, ../../assets/recipe-icons/culinarian/paella.png, Paella, 3, Bomba Rice, 2, Rose Shrimp, 1, Frantoio Oil, 1, Maneater Clam, 2, Paprika, 1, Heavens Lemon, 1, Fire Crystal, 7, Water Crystal, 7),
(241, 79, 418, null, ../../assets/recipe-icons/culinarian/coffee-biscuit.png, Coffee Biscuit, 3, Upland Wheat Flour, 1, Coffee Beans, 1, Garden Beet Sugar, 1, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(242, 80, 430, null, ../../assets/recipe-icons/culinarian/ovim-cordon-bleu.png, Ovim Cordon Bleu, 3, Ovim Meat, 1, Upland Wheat Flour, 1, Cream Cheese, 1, Lemonette, 1, Frantoio Oil, 1, Ala Mhigan Salt Crystal, 1, Fire Crystal, 7, Water Crystal, 7),
(243, 80, 430, null, ../../assets/recipe-icons/culinarian/lemonade.png, Lemonade, 3, Lemonette, 1, Golden Honey, 2, Underground Spring Water, 1, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(244, 80, 430, null, ../../assets/recipe-icons/culinarian/jellied-harcot.png, Jellied Harcot, 3, Harcot, 2, Garden Beet Sugar, 1, Gelatin, 1, Lemonette, 1, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(245, 80, 430, null, ../../assets/recipe-icons/culinarian/oysters-on-the-half-shell.png, Oysters on the Half Shell, 3, Sweetflesh Oyster, 3, Lemonette, 2, null, null, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(246, 50 , null, Master Culinarian I, ../../assets/recipe-icons/culinarian/spicy-tomato-relish.png, Spicy Tomato Relish, 1, Dzemael Tomato, 1, Cinnamon, 1, Table Salt, 1, Dark Vinegar, 1, null, null, null, null, Fire Shard, 11, Water Shard, 10),
(247, 50 , null, Master Culinarian I, ../../assets/recipe-icons/culinarian/magitek-repair-materials.png, Magitek Repair Materials, 1, Dark Matter Cluster, 1, Grade 6 Dark Matter, 5, null, null, null, null, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(248, 50 , null, Master Culinarian I, ../../assets/recipe-icons/culinarian/rich-tomato-relish.png, Rich Tomato Relish, 1, Spicy Tomato Relish, 1, Fieldcraft Demimateria III, 2, null, null, null, null, null, null, null, null, Fire Shard, 12, Water Shard, 11),
(249, 50 , null, Master Culinarian I, ../../assets/recipe-icons/culinarian/duck-broth.png, Duck Broth, 1, Duck Bones, 3, Canard Breast, 1, Thyme, 1, Wild Onion, 4, Garlean Garlic, 2, null, null, Fire Cluster, 3, Water Cluster, 2),
(250, 50 , null, Master Culinarian I, ../../assets/recipe-icons/culinarian/tailor-made-eel-pie.png, Tailor-made Eel Pie, 1, Vintage Cooking Sherry, 1, Worm of Nym, 1, Pie Dough, 1, Smooth Butter, 1, Black Pepper, 1, Cloves, 1, Fire Cluster, 2, Water Cluster, 1),
(251, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/steamed-catfish.png, Steamed Catfish, 3, Star Anise, 1, Giant Catfish, 1, Sour Red, 1, Popoto, 1, Maple Sugar, 1, null, null, Fire Cluster, 2, Water Cluster, 1),
(252, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/popoto-pancakes.png, Popoto Pancakes, 3, Dalamud Popoto, 1, Mirror Apple, 1, Sunset Wheat Flour, 1, Nutmeg, 1, Apkallu Egg, 1, Table Salt, 1, Fire Cluster, 2, Water Cluster, 1),
(253, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/roast-canard.png, Roast Canard, 3, Canard Breast, 1, Blood Orange, 1, La Noscean Orange, 1, Honey, 1, Smooth Butter, 1, Popoto, 1, Fire Cluster, 2, Water Cluster, 1),
(254, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/sachertorte.png, Sachertorte, 3, Royal Kukuru Bean, 1, Apricot, 1, Bubble Chocolate, 1, Sweet Cream, 1, Sunset Wheat Flour, 1, Smooth Butter, 1, Fire Cluster, 2, Water Cluster, 1),
(255, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/shark-fin-soup.png, Shark Fin Soup, 3, Star Anise, 1, Megalodon, 1, La Noscean Leek, 1, Pearl Ginger, 1, Volcanic Rock Salt, 1, null, null, Fire Cluster, 2, Water Cluster, 1),
(256, 50 , 90, Master Culinarian I, ../../assets/recipe-icons/culinarian/haddock-dip.png, Haddock Dip, 3, Dalamud Popoto, 1, Haraldr Haddock, 1, Honey Lemon, 2, Olive Oil, 1, Black Pepper, 1, Garlean Garlic, 1, Fire Cluster, 2, Water Cluster, 1),
(257, 50 , 110, Master Culinarian II, ../../assets/recipe-icons/culinarian/triple-cream-coffee.png, Triple Cream Coffee, 3, Roasted Coffee Beans, 1, Mineral Water, 1, Sweet Cream, 1, Maple Sugar, 1, Cinnamon, 1, Filtered Water, 1, Fire Cluster, 2, Water Cluster, 2),
(258, 50 , 110, Master Culinarian II, ../../assets/recipe-icons/culinarian/bacon-bread.png, Bacon Bread, 3, Smoked Bacon, 1, Sunset Wheat, 1, Mineral Water, 1, Night Milk, 1, Volcanic Rock Salt, 2, null, null, Fire Cluster, 2, Water Cluster, 2),
(259, 50 , 110, Master Culinarian II, ../../assets/recipe-icons/culinarian/flint-caviar.png, Flint Caviar, 3, Borax, 1, Emperor Fish, 1, Filtered Water, 1, Volcanic Rock Salt, 1, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(260, 50 , 110, Master Culinarian II, ../../assets/recipe-icons/culinarian/bacon-broth.png, Bacon Broth, 3, Smoked Bacon, 1, Xelphatol Spring Water, 1, La Noscean Leek, 1, Garlean Garlic, 1, Volcanic Rock Salt, 1, Black Pepper, 1, Fire Cluster, 2, Water Cluster, 2),
(261, 56, null, Master Culinarian III, ../../assets/recipe-icons/culinarian/oriental-breakfast.png, Oriental Breakfast, 1, Bluebell Salmon, 3, Abalathian Rock Salt, 2, Sticky Rice, 3, Malm Kelp, 3, Oriental Miso Paste, 1, Thanalan Tea Leaves, 3, Fire Crystal, 5, Water Crystal, 4),
(262, 57, null, Master Culinarian III, ../../assets/recipe-icons/culinarian/oriental-supper.png, Oriental Supper, 1, Loaghtan Chump, 3, Chives, 2, Porcini, 2, Gastornis Egg, 2, Maple Sugar, 1, Oriental Soy Sauce, 1, Fire Crystal, 5, Water Crystal, 4),
(263, 60 , null, Master Culinarian III, ../../assets/recipe-icons/culinarian/kingcake.png, Kingcake, 1, Moogle Miniature, 1, Highland Flour, 1, Yak Milk, 1, Okeanis Egg, 1, Birch Syrup, 1, Tiny Crown, 1, Fire Cluster, 2, Water Cluster, 1),
(264, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/hot-chocolate.png, Hot Chocolate, 3, Heavenly Kukuru Powder, 1, Yak Milk, 1, Birch Syrup, 1, Duskborne Aethersand, 1, null, null, null, null, Fire Cluster, 2, Water Cluster, 1),
(265, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/creme-brulee.png, Creme Brulee, 3, Vanilla Beans, 2, Okeanis Egg, 1, Yak Milk, 1, Birch Syrup, 1, Duskborne Aethersand, 1, null, null, Fire Cluster, 2, Water Cluster, 1),
(266, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/almond-cream-croissant.png, Almond Cream Croissant, 3, Honeydew Almonds, 2, Highland Flour, 1, Fermented Butter, 1, Birch Syrup, 1, Duskborne Aethersand, 1, null, null, Fire Cluster, 2, Water Cluster, 1),
(267, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/urchin-loaf.png, Urchin Loaf, 3, Spring Urchin, 2, Lake Urchin, 1, Morel, 1, Sour Cream, 1, Okeanis Egg, 1, Duskborne Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(268, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/seafood-stew.png, Seafood Stew, 3, Dravanian Paprika, 2, Blueclaw Shrimp, 1, Coerthan Crab, 1, Rock Mussel, 1, Dzemael Tomato, 2, Duskborne Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(269, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/snurbleberry-tart.png, Snurbleberry Tart, 3, Snurbleberry, 2, Pie Dough, 1, Birch Syrup, 1, Gelatin, 1, Fermented Butter, 1, Duskborne Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(270, 60 , 160, Master Culinarian III, ../../assets/recipe-icons/culinarian/steamed-staff.png, Steamed Staff, 3, Retribution Staff, 1, Star Anise, 1, Abalathian Spring Water, 1, Coriander, 1, Abalathian Rock Salt, 1, Duskborne Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(271, 60 , null, Master Culinarian III, ../../assets/recipe-icons/culinarian/nameday-cake.png, Nameday Cake, 1, Snurbleberry, 5, Highland Flour, 4, Sweet Cream, 2, Okeanis Egg, 2, Birch Syrup, 2, Beeswax Candle, 4, Fire Cluster, 2, Water Cluster, 1),
(272, 60 , 180, Master Culinarian IV, ../../assets/recipe-icons/culinarian/sweet-gnomefish.png, Sweet Gnomefish, 1, Gnomefish, 1, Birch Syrup, 1, null, null, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 7),
(273, 60 , 180, Master Culinarian IV, ../../assets/recipe-icons/culinarian/oyster-confit.png, Oyster Confit, 3, Coerthan Oyster, 1, Mature Olive Oil, 1, Laurel, 1, Rosemary, 1, Highland Parsley, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(274, 60 , 210, Master Culinarian IV, ../../assets/recipe-icons/culinarian/angler-stew.png, Angler Stew, 3, Priestfish, 1, Solstice Garlic, 1, Cyclops Onion, 1, Chives, 1, Highland Flour, 1, Yak Milk, 1, Fire Cluster, 2, Water Cluster, 2),
(275, 60 , 180, Master Culinarian IV, ../../assets/recipe-icons/culinarian/spiced-cider.png, Spiced Cider, 3, Golden Apple, 2, Cinnamon, 1, Vanilla Beans, 1, Pearl Ginger, 1, Cloves, 1, null, null, Fire Cluster, 3, Water Cluster, 2),
(276, 60 , 210, Master Culinarian IV, ../../assets/recipe-icons/culinarian/apple-strudel.png, Apple Strudel, 3, Golden Apple, 2, Highland Flour, 1, Fermented Butter, 1, Birch Syrup, 1, Vanilla Beans, 1, Cinnamon, 1, Fire Cluster, 3, Water Cluster, 2),
(277, 60 , 180, Master Culinarian IV, ../../assets/recipe-icons/culinarian/peperoncino.png, Peperoncino, 3, Vermicelli, 1, Solstice Garlic, 1, Mature Olive Oil, 1, Dragon Pepper, 1, Highland Parsley, 1, null, null, Fire Cluster, 3, Water Cluster, 2),
(278, 60 , 210, Master Culinarian IV, ../../assets/recipe-icons/culinarian/boscaiola.png, Boscaiola, 3, Vermicelli, 1, Tomato Sauce, 1, Mature Olive Oil, 2, Morel, 1, Porcini, 1, Cyclops Onion, 1, Fire Cluster, 3, Water Cluster, 2),
(279, 60 , 210, Master Culinarian IV, ../../assets/recipe-icons/culinarian/loaghtan-steak.png, Loaghtan Steak, 3, Loaghtan Fillet, 2, Dravanian Paprika, 1, Fermented Butter, 1, Cooking Sherry, 1, Abalathian Rock Salt, 1, Thyme, 1, Fire Cluster, 3, Water Cluster, 2),
(280, 60 , 220, Master Culinarian IV, ../../assets/recipe-icons/culinarian/heavensegg-soup.png, Heavensegg Soup, 3, Heavensegg, 1, Bouillon Cube, 1, Smoked Bacon, 1, Cyclops Onion, 1, Ogre Pumpkin, 1, Laurel, 1, Fire Cluster, 3, Water Cluster, 2),
(281, 60 , 220, Master Culinarian IV, ../../assets/recipe-icons/culinarian/pasta-ortolano.png, Pasta Ortolano, 3, Vermicelli, 1, Tomato Sauce, 1, Solstice Garlic, 1, Dravanian Paprika, 1, Wizard Eggplant, 1, Ramhorn Zucchini, 1, Fire Cluster, 3, Water Cluster, 2),
(282, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/heavenly-eggnog.png, Heavenly Eggnog, 3, Heavensegg, 1, Sweet Cream Milk, 1, Sweet Cream, 1, Birch Syrup, 1, Cinnamon, 1, Nutmeg, 1, Fire Cluster, 3, Water Cluster, 3),
(283, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/flaugnarde.png, Flaugnarde, 3, Golden Apple, 1, Heavensegg, 1, Highland Flour, 1, Sweet Cream Milk, 1, Sweet Cream, 1, Birch Syrup, 1, Fire Cluster, 3, Water Cluster, 3),
(284, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/spaghetti-carbonara.png, Spaghetti Carbonara, 3, Vermicelli, 1, Smoked Bacon, 1, Heavensegg, 1, Stone Cheese, 1, Sweet Cream, 1, Black Pepper, 1, Fire Cluster, 3, Water Cluster, 3),
(285, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/wildwood-scrambled-eggs.png, Wildwood Scrambled Eggs, 3, Heavensegg, 1, Brown Mushroom, 1, Cyclops Onion, 1, Sweet Cream Milk, 1, Sweet Cream, 1, Abalathian Rock Salt, 1, Fire Cluster, 3, Water Cluster, 3),
(286, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/spaghetti-pescatore.png, Spaghetti Pescatore, 3, Vermicelli, 1, Mountain Kraken, 1, Rock Lobster, 1, Rock Mussel, 1, Solstice Garlic, 2, Mature Olive Oil, 1, Fire Cluster, 3, Water Cluster, 3),
(287, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/loaghtan-cordon-bleu.png, Loaghtan Cordon Bleu, 3, Loaghtan Fillet, 1, Smoked Bacon, 1, Stone Cheese, 1, Highland Flour, 1, Mature Olive Oil, 1, Abalathian Rock Salt, 1, Fire Cluster, 3, Water Cluster, 3),
(288, 60 , 250, Master Culinarian IV, ../../assets/recipe-icons/culinarian/priestly-omelette.png, Priestly Omelette, 3, Heavensegg, 1, Stone Cheese, 1, Brown Mushroom, 1, White Truffle, 1, Tomato Sauce, 1, Highland Parsley, 1, Fire Cluster, 3, Water Cluster, 3),
(289, 70 , 320, Master Culinarian V, ../../assets/recipe-icons/culinarian/steppe-tea.png, Steppe Tea, 3, Tea Brick, 1, Steppe Milk, 1, Ala Mhigan Salt Crystal, 1, Dark Chestnut, 1, Dusklight Aethersand, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(290, 70 , 320, Master Culinarian V, ../../assets/recipe-icons/culinarian/pork-kakuni.png, Pork Kakuni, 3, Koshu Pork, 1, Oriental Soy Sauce, 1, Cooking Sake, 1, Jhammel Ginger, 1, Fennel, 1, Dusklight Aethersand, 1, Fire Cluster, 2, Water Cluster, 2),
(291, 70 , 320, Master Culinarian V, ../../assets/recipe-icons/culinarian/pork-stew.png, Pork Stew, 3, Koshu Pork, 1, Fish Stock, 1, Oriental Miso Paste, 1, Daikon Radish, 1, Gyr Abanian Carrot, 1, Dusklight Aethersand, 1, Fire Cluster, 2, Water Cluster, 2),
(292, 70 , 320, Master Culinarian V, ../../assets/recipe-icons/culinarian/sermon-worthy-meuniere.png, Sermon-worthy Meuniere, 3, Lordly Salmon, 1, Gyr Abanian Flour, 1, Fermented Butter, 1, Heavens Lemon, 1, Young Cieldalaes Spinach, 1, Crimson Pepper, 1, Fire Cluster, 2, Water Cluster, 2),
(293, 70 , 320, Master Culinarian V, ../../assets/recipe-icons/culinarian/chawan-mushi.png, Chawan-mushi, 3, Gagana Egg, 1, Secret Recipe Broth, 1, Ala Mhigan Salt Crystal, 1, Shiitake Mushroom, 1, Yanxian Parsley, 1, Dusklight Aethersand, 1, Fire Cluster, 2, Water Cluster, 2),
(294, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/tako-yaki.png, Tako-yaki, 3, Gyr Abanian Flour, 2, Usuginu Octopus, 1, Secret Recipe Broth, 1, Green Leek, 1, Gagana Egg, 2, Cottonseed Oil, 1, Fire Cluster, 2, Water Cluster, 2),
(295, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/futo-maki-roll.png, Futo-maki Roll, 3, Doman Rice, 1, Spiny Lobster, 1, Doman Eel, 1, Shiitake Mushroom, 1, Gagana Egg, 1, Rice Vinegar, 1, Fire Cluster, 2, Water Cluster, 2),
(296, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/oden.png, Oden, 3, Secret Recipe Broth, 1, Mountain Popoto, 1, Ruby Tide Kelp, 1, Daikon Radish, 1, Gagana Egg, 1, Cooking Sake, 1, Fire Cluster, 2, Water Cluster, 2),
(297, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/dzo-steak.png, Dzo Steak, 3, Dzo Sirloin, 1, Algae Salt, 1, Cottonseed Oil, 1, Cooking Sherry, 1, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(298, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/crimson-cider.png, Crimson Cider, 3, Crimson Pepper, 1, Jhammel Ginger, 1, Cumin Seeds, 1, Kudzu Root, 1, Loquat, 3, null, null, Fire Cluster, 2, Water Cluster, 2),
(299, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/sauteed-green-leeks.png, Sauteed Green Leeks, 3, Crimson Pepper, 1, Green Leek, 2, Solstice Garlic, 1, Cottonseed Oil, 1, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(300, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/tofu-pancakes.png, Tofu Pancakes, 3, Honeydew Honey, 1, Firm Tofu, 1, Gagana Egg, 1, Steppe Milk, 1, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(301, 70 , 320, Master Culinarian VI, ../../assets/recipe-icons/culinarian/konpeito.png, Konpeito, 3, Beet Sugar, 2, Honeydew Honey, 1, Dusklight Aethersand, 1, null, null, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(302, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/banh-xeo.png, Banh Xeo, 3, Koshu Sticky Rice, 1, Koshu Pork, 1, Yanxian Tiger Prawn, 1, Green Leek, 2, Fennel, 1, Cumin Seeds, 2, Fire Cluster, 2, Water Cluster, 2),
(303, 70 , 320, Master Culinarian VI, ../../assets/recipe-icons/culinarian/matcha.png, Matcha, 3, Tea Brick, 1, Crescent Spring Water, 1, Dusklight Aethersand, 1, null, null, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(304, 70 , 340, Master Culinarian VI, ../../assets/recipe-icons/culinarian/ema-datshi.png, Ema Datshi, 3, Crimson Pepper, 1, Dragon Pepper, 4, Crescent Spring Water, 2, Cream Cheese, 1, Cyclops Onion, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(305, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/rooibos-tea.png, Rooibos Tea, 3, Rooibos Leaves, 1, Crescent Spring Water, 1, Dawnlight Aethersand, 1, null, null, null, null, null, null, Fire Cluster, 2, Water Cluster, 2),
(306, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/ginger-salad.png, Ginger Salad, 3, Jhammel Ginger, 1, Crimson Pepper, 1, La Noscean Lettuce, 3, Daikon Radish, 2, Olive Oil, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(307, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/laghman.png, Laghman, 3, Secret Recipe Broth, 1, Gyr Abanian Flour, 2, Dzo Chuck, 1, Gyr Abanian Carrot, 1, Laurel, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(308, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/imam-bayildi.png, Imam Bayildi, 3, Doman Eggplant, 3, Gyr Abanian Carrot, 2, Dzemael Tomato, 2, Cyclops Onion, 1, Highland Parsley, 1, Crimson Pepper, 1, Fire Cluster, 2, Water Cluster, 2),
(309, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/papanasi.png, Papanasi, 3, Gyr Abanian Flour, 2, Gagana Egg, 1, Cottonseed Oil, 1, Sour Cream, 1, Reunion Cheese, 1, Rolanberry, 3, Fire Cluster, 2, Water Cluster, 2),
(310, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/salmon-muffin.png, Salmon Muffin, 3, Ishgardian Muffin, 1, Lordly Salmon, 1, Cieldalaes Spinach, 1, Alligator Pear, 1, Reunion Cheese, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(311, 70 , 370, Master Culinarian VI, ../../assets/recipe-icons/culinarian/shakshouka.png, Shakshouka, 3, Koshu Pork, 1, Dravanian Paprika, 2, Dzemael Tomato, 2, Gagana Egg, 1, Dragon Pepper, 1, Thyme, 1, Fire Cluster, 2, Water Cluster, 2),
(312, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/creamy-salmon-pasta.png, Creamy Salmon Pasta, 3, King Salmon, 2, Frantoio Oil, 1, Mist Spinach, 2, Night Pepper, 2, Vermicelli, 1, Sweet Cream, 1, Fire Cluster, 2, Water Cluster, 2),
(313, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/king-salmon-meuniere.png, King Salmon Meuniere, 3, King Salmon, 2, Upland Wheat Flour, 1, Lemonette, 2, Night Pepper, 2, Fermented Butter, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(314, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/popoto-salad.png, Popoto Salad, 3, Robe Lettuce, 2, Frantoio Oil, 1, Russet Popoto, 2, Lorikeet Egg, 1, Night Pepper, 2, Ramhorn Zucchini, 2, Fire Cluster, 2, Water Cluster, 2),
(315, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/robe-lettuce-salad.png, Robe Lettuce Salad, 3, Robe Lettuce, 2, Frantoio Oil, 1, Mist Spinach, 2, Lorikeet Egg, 1, Blood Tomato, 2, Fennel, 2, Fire Cluster, 2, Water Cluster, 2),
(316, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/pixieberry-tea.png, Pixieberry Tea, 3, Pixieberry, 2, Garden Beet Sugar, 1, Peppermint, 2, Underground Spring Water, 2, Coerthan Tea Leaves, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(317, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/pixieberry-cheesecake.png, Pixieberry Cheesecake, 3, Pixieberry, 2, Garden Beet Sugar, 1, Lemonette, 2, Sour Cream, 2, Yak Milk, 1, Gelatin, 2, Fire Cluster, 2, Water Cluster, 2),
(318, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/kukuru-rusk.png, Kukuru Rusk, 3, Kriollo Kukuru Bean, 2, Upland Wheat Flour, 1, Ala Mhigan Salt Crystal, 2, Underground Spring Water, 2, Yak Milk, 1, null, null, Fire Cluster, 2, Water Cluster, 2),
(319, 80, 450, Master Culinarian VII, ../../assets/recipe-icons/culinarian/lemon-curd-sachertorte.png, Lemon Curd Sachertorte, 3, Kriollo Kukuru Bean, 2, Upland Wheat Flour, 1, Lemonette, 2, Sour Cream, 2, Fermented Butter, 1, Royal Kukuru Bean, 2, Fire Cluster, 2, Water Cluster, 2),
